id,created,superceded_id,valid,pt_position_x,pt_position_y,pt_position_z,valid_id,status_dendrite,status_axon,strategy_dendrite,strategy_axon,pt_supervoxel_id,pt_root_id
3630,2025-04-26 13:48:52.940946+00:00,,True,192693,261954,27141,864691136033871035,False,True,none,axon_fully_extended,91295269563405831,864691136033871035
3638,2025-04-26 15:26:01.865414+00:00,,True,168144,185744,20252,864691135571192966,True,True,dendrite_extended,axon_partially_extended,87907329701715670,864691135571192966
3639,2025-04-26 15:26:01.884071+00:00,,True,192048,180656,21639,864691135124248359,True,True,dendrite_extended,axon_partially_extended,91213973684426061,864691135124248359
3640,2025-04-26 15:26:01.897693+00:00,,True,185696,185984,20589,864691135447653010,True,True,dendrite_extended,axon_partially_extended,90299867070611957,864691135447653010
3641,2025-04-26 15:26:01.911083+00:00,,True,181712,182736,21608,864691135849699166,True,True,dendrite_extended,axon_partially_extended,89736504934533504,864691135849699166
3642,2025-04-26 15:26:01.924637+00:00,,True,198208,234032,23815,864691135396485877,True,True,dendrite_extended,axon_partially_extended,92065545708721615,864691135396485877
1764,2024-08-21 19:08:13.090690+00:00,,True,175344,232624,23084,864691135763491126,True,True,dendrite_extended,axon_partially_extended,88898745994932129,864691135763491126
1773,2024-08-21 19:08:13.096856+00:00,,True,186880,237824,22771,864691134948983804,True,True,dendrite_extended,axon_partially_extended,90447614214204483,864691134948983804
3643,2025-04-26 15:36:38.403644+00:00,,True,184544,181792,22336,864691135646493679,True,True,dendrite_extended,axon_fully_extended,90158580028006378,864691135646493679
1782,2024-08-21 19:08:13.103728+00:00,,True,192912,256816,22930,864691135694189759,True,True,dendrite_extended,axon_partially_extended,91294581765133868,864691135694189759
1783,2024-08-21 19:08:13.104387+00:00,,True,188528,253616,24883,864691135947366692,True,True,dendrite_extended,axon_partially_extended,90731151043723740,864691135947366692
3253,2025-03-10 23:07:38.335396+00:00,,True,175952,239552,23244,864691135417827770,True,True,dendrite_extended,axon_partially_extended,88970076811970841,864691135417827770
3254,2025-03-10 23:07:38.336027+00:00,,True,190544,255488,23269,864691136125985318,True,True,dendrite_extended,axon_partially_extended,91012900696960172,864691136125985318
3255,2025-03-10 23:07:38.336663+00:00,,True,196640,250944,23916,864691136742708828,True,True,dendrite_extended,axon_partially_extended,91786338474863792,864691136742708828
2470,2024-12-07 00:25:35.526152+00:00,,True,224640,157520,22200,864691135293605558,True,True,dendrite_extended,axon_partially_extended,95644112258314809,864691135293605558
3256,2025-03-10 23:07:38.337437+00:00,,True,176064,232016,22845,864691136177029382,True,True,dendrite_extended,axon_partially_extended,88969045952854187,864691136177029382
