id,created,superceded_id,valid,volume,pt_position_x,pt_position_y,pt_position_z,bb_start_position_x,bb_start_position_y,bb_start_position_z,bb_end_position_x,bb_end_position_y,bb_end_position_z,pt_supervoxel_id,pt_root_id
598868,2020-09-28 22:40:41.896817+00:00,,True,138.73218,341456,274048,20912,,,,,,,111703785050882958,864691136911951089
193846,2020-09-28 22:40:41.897904+00:00,,True,306.14896,131568,168496,16452,,,,,,,82838443188669165,864691135578780933
193828,2020-09-28 22:40:41.898985+00:00,,True,48.107685,146512,168496,14884,,,,,,,84949505312604124,864691135969186405
193643,2020-09-28 22:40:41.899853+00:00,,True,37.000153,147072,147232,27571,,,,,,,85017058169308090,864691135590265355
736114,2020-09-28 22:40:41.900747+00:00,,True,34.847786,401808,91456,24797,,,,,,,0,0
159133,2020-09-28 22:40:41.901663+00:00,,True,240.23958,128992,170704,18375,,,,,,,82486943266918198,864691136966518478
410058,2020-09-28 22:40:41.902549+00:00,,True,73.85825,236064,273776,20131,,,,,,,97207823682941943,864691135224812239
194055,2020-09-28 22:40:41.903430+00:00,,True,78.43447,140656,164624,17225,,,,,,,84104599614933215,864691135703269400
227619,2020-09-28 22:40:41.904319+00:00,,True,228.02301,156688,160544,18703,,,,,,,86285481129900135,864691135387453569
225464,2020-09-28 22:40:41.905252+00:00,,True,38.54729,160496,159392,16700,,,,,,,86848224656483932,864691136809860462
584989,2020-09-28 22:40:41.906152+00:00,,True,68.191025,343264,143040,15838,,,,,,,111967667170638224,864691135578744883
227994,2020-09-28 22:40:41.907088+00:00,,True,257.15375,158416,176256,20001,,,,,,,86569017891974599,864691136309636954
609796,2020-09-28 22:40:41.908028+00:00,,True,70.932236,348480,125488,15461,,,,,,,112669018149786283,864691135583699064
363874,2020-09-28 22:40:41.908892+00:00,,True,260.40222,227488,158960,23554,,,,,,,96066531082897661,864691135699950114
670701,2020-09-28 22:40:41.910044+00:00,,True,287.9088,374064,225168,16258,,,,,,,116200855723904283,864691135811074200
393168,2020-09-28 22:40:41.910900+00:00,,True,43.751343,238256,142368,24576,,,,,,,97542007035631333,864691135455264362
193204,2020-09-28 22:40:41.911786+00:00,,True,57.14772,145056,151904,24854,,,,,,,84736201332207663,864691135732257977
611078,2020-09-28 22:40:41.912665+00:00,,True,119.943985,351088,123776,24724,,,,,,,113020656920273869,864691135462740798
711981,2020-09-28 22:40:41.913565+00:00,,True,258.00034,386464,207392,25508,,,,,,,117887301610654491,864691135342041285
196021,2020-09-28 22:40:41.914485+00:00,,True,28.30549,146224,179152,14852,,,,,,,84880579677392206,864691135732257977
