id,created,valid,target_id,session,scan_idx,unit_id,field,residual,score,id_ref,created_ref,valid_ref,volume,pt_position_x,pt_position_y,pt_position_z,bb_start_position_x,bb_start_position_y,bb_start_position_z,bb_end_position_x,bb_end_position_y,bb_end_position_z,pt_supervoxel_id,pt_root_id
4201,2024-05-21 18:38:24.647144+00:00,True,524866,5,7,7172,6,7.51027,6.96863,524866,2020-09-28 22:41:07.093193+00:00,True,422.86578,305632,176384,19535,,,,,,,106764916123362738,864691135195670314
11126,2024-05-21 18:42:39.518230+00:00,True,524855,7,3,7531,6,3.01092,11.82028,524855,2020-09-28 22:40:57.058898+00:00,True,337.16846,302720,174192,19613,,,,,,,106412728805204718,864691135946610468
15127,2024-05-21 18:42:41.720011+00:00,True,524509,8,5,8730,6,12.0715,2.1952,524509,2020-09-28 22:44:42.312570+00:00,True,275.83954,306864,160160,17463,,,,,,,106973823064188924,864691136390072439
8550,2024-05-21 18:38:27.079345+00:00,True,524664,6,6,7292,6,8.11695,4.18555,524664,2020-09-28 22:45:11.646650+00:00,True,335.2699,299024,169248,19251,,,,,,,105849160309571506,864691135578032389
10009,2024-05-21 18:42:38.908561+00:00,True,524675,6,7,7206,6,12.5347,1.3255,524675,2020-09-28 22:43:51.272999+00:00,True,335.29382,301392,164768,19430,,,,,,,106200385555329536,864691135279116193
10026,2024-05-21 18:42:38.917774+00:00,True,524753,6,7,7271,6,7.07168,8.72132,524753,2020-09-28 22:43:31.394499+00:00,True,267.22287,310032,166624,18935,,,,,,,107396929017215990,864691136967765454
4039,2024-05-21 18:38:24.556275+00:00,True,524412,5,7,6645,6,3.66535,11.03325,524412,2020-09-28 22:42:07.137303+00:00,True,346.46524,309792,170416,17122,,,,,,,107327041107717659,864691135349276631
9539,2024-05-21 18:42:38.649452+00:00,True,524570,6,7,6120,6,12.0966,-3.14104,524570,2020-09-28 22:44:13.331977+00:00,True,229.42793,298624,168128,18511,,,,,,,105848954083746344,864691135335395049
6841,2024-05-21 18:38:26.127056+00:00,True,524655,6,4,6578,6,11.4577,-0.8447,524655,2020-09-28 22:45:20.867033+00:00,True,380.1837,296320,172624,19146,,,,,,,105497728905389694,864691135082647543
2623,2024-05-21 18:38:23.766625+00:00,True,524403,5,6,6755,6,5.34332,7.66918,524403,2020-09-28 22:43:12.353574+00:00,True,312.10864,308160,174176,17095,,,,,,,107116415911500795,864691135759421774
5431,2024-05-21 18:38:25.338739+00:00,True,524859,6,2,6674,6,9.96463,-1.73769,524859,2020-09-28 22:45:24.757321+00:00,True,438.11636,304000,172256,19849,,,,,,,106553260135397223,864691135498558995
8210,2024-05-21 18:38:26.888764+00:00,True,524591,6,6,6285,6,14.8318,-0.9194,524591,2020-09-28 22:45:15.588005+00:00,True,349.5759,304448,170160,18469,,,,,,,106623285147553602,864691135509697545
5430,2024-05-21 18:38:25.338210+00:00,True,524853,6,2,6671,6,11.2136,-0.7516,524853,2020-09-28 22:41:07.025681+00:00,True,441.27698,301248,176336,19904,,,,,,,106201966170339267,864691135740557204
6843,2024-05-21 18:38:26.128126+00:00,True,524791,6,4,6582,6,5.67405,4.23171,524791,2020-09-28 22:42:51.254144+00:00,True,382.67813,298304,170704,20259,,,,,,,105778997857997880,864691136923710180
6838,2024-05-21 18:38:26.125320+00:00,True,524717,6,4,6556,6,3.04511,14.03949,524717,2020-09-28 22:45:05.540043+00:00,True,316.91046,304320,169680,18886,,,,,,,106623285148044975,864691135586214524
8211,2024-05-21 18:38:26.889305+00:00,True,524717,6,6,6286,6,8.16331,6.42679,524717,2020-09-28 22:45:05.540043+00:00,True,316.91046,304320,169680,18886,,,,,,,106623285148044975,864691135586214524
5425,2024-05-21 18:38:25.335478+00:00,True,524732,6,2,6650,6,9.17767,0.48607,524732,2020-09-28 22:44:59.511624+00:00,True,305.5023,307808,173888,19031,,,,,,,107116416179773875,864691135838277779
10997,2024-05-21 18:42:39.448157+00:00,True,524603,7,3,6768,6,10.7784,-5.07293,524603,2020-09-28 22:45:11.360551+00:00,True,333.2129,307264,172304,18535,,,,,,,107045841210084019,864691136090184247
5555,2024-05-21 18:38:25.408038+00:00,True,524516,6,2,7101,6,13.8303,-1.3465,524516,2020-09-28 22:43:20.456799+00:00,True,372.10324,308912,168992,17936,,,,,,,107256466339084126,864691134917973258
12111,2024-05-21 18:42:40.050895+00:00,True,524851,7,4,8340,6,15.0196,-4.8025,524851,2020-09-28 22:43:57.749204+00:00,True,190.609,301648,160352,19518,,,,,,,106270135890853232,864691135464018501
9926,2024-05-21 18:42:38.863211+00:00,True,525460,6,7,6998,6,7.0199,8.2375,525460,2020-09-28 22:45:21.086016+00:00,True,384.4992,306944,165600,23673,,,,,,,106974579783822741,864691135885010032
9540,2024-05-21 18:42:38.650001+00:00,True,524972,6,7,6129,6,4.50879,8.55541,524972,2020-09-28 22:43:49.596430+00:00,True,354.2075,297504,168128,20961,,,,,,,105637848120090043,864691136275323661
13416,2024-05-21 18:42:40.770381+00:00,True,524988,7,5,6805,6,5.92695,7.50855,524988,2020-09-28 22:42:47.478015+00:00,True,266.55,297888,160624,21006,,,,,,,105707254858183565,864691135994540970
6850,2024-05-21 18:38:26.131862+00:00,True,525220,6,4,6602,6,1.85308,15.37052,525220,2020-09-28 22:45:23.481503+00:00,True,425.50232,295344,171040,21861,,,,,,,105356785594313916,864691135778132576
687,2024-05-21 18:38:22.688091+00:00,True,525155,4,7,5559,6,7.49624,0.1638,525155,2020-09-28 22:45:13.158209+00:00,True,339.27365,305376,160736,21198,,,,,,,106762786021094723,864691134885552634
8522,2024-05-21 18:38:27.063530+00:00,True,525382,6,6,7209,6,10.9085,-1.12112,525382,2020-09-28 22:45:01.512099+00:00,True,310.1742,308064,163760,22789,,,,,,,107115042260207454,864691135877253459
11004,2024-05-21 18:42:39.451860+00:00,True,525411,7,3,6795,6,5.94345,9.83475,525411,2020-09-28 22:44:53.397916+00:00,True,293.23953,299040,172832,23930,,,,,,,105849641949939824,864691135342003889
4246,2024-05-21 18:38:24.673309+00:00,True,525359,5,7,7322,6,5.85122,9.86748,525359,2020-09-28 22:43:16.294798+00:00,True,358.9323,302496,174912,23099,,,,,,,106342497969597944,864691134940951395
1102,2024-05-21 18:38:22.917150+00:00,True,525140,4,7,6687,6,6.73479,4.07001,525140,2020-09-28 22:42:23.039286+00:00,True,304.0918,299792,162480,21798,,,,,,,105988936060779673,864691136557075618
14670,2024-05-21 18:42:41.468461+00:00,True,525140,8,5,7542,6,6.00844,4.96856,525140,2020-09-28 22:42:23.039286+00:00,True,304.0918,299792,162480,21798,,,,,,,105988936060779673,864691136557075618
695,2024-05-21 18:38:22.692521+00:00,True,525154,4,7,5589,6,9.83821,2.41039,525154,2020-09-28 22:40:58.722910+00:00,True,329.99326,304464,162224,21863,,,,,,,106622254758424163,864691136422858543
14669,2024-05-21 18:42:41.467912+00:00,True,525154,8,5,7541,6,9.11584,3.25176,525154,2020-09-28 22:40:58.722910+00:00,True,329.99326,304464,162224,21863,,,,,,,106622254758424163,864691136422858543
15106,2024-05-21 18:42:41.708306+00:00,True,525264,8,5,8662,6,3.84952,6.1288,525264,2020-09-28 22:44:40.501422+00:00,True,273.17862,301328,160352,22160,,,,,,,106199767482320205,864691135304186791
6992,2024-05-21 18:38:26.209977+00:00,True,525328,6,4,7025,6,3.69692,7.58078,525328,2020-09-28 22:45:08.065061+00:00,True,324.7561,297536,169968,23047,,,,,,,105708492077161653,864691135349720535
7163,2024-05-21 18:38:26.303887+00:00,True,525408,6,4,7484,6,4.93635,9.63185,525408,2020-09-28 22:45:19.486273+00:00,True,373.1497,297408,171280,23426,,,,,,,105638329491854282,864691135618699663
5426,2024-05-21 18:38:25.336009+00:00,True,524897,6,2,6651,6,8.38584,1.30494,524897,2020-09-28 22:41:49.681271+00:00,True,449.37396,310992,172624,19850,,,,,,,107538422553869651,864691135384149483
8222,2024-05-21 18:38:26.895337+00:00,True,525374,6,6,6316,6,3.17069,6.36019,525374,2020-09-28 22:41:44.631800+00:00,True,344.0817,305344,166096,23368,,,,,,,106763542203911896,864691135785791940
7137,2024-05-21 18:38:26.289576+00:00,True,525372,6,4,7391,6,6.64622,9.17068,525372,2020-09-28 22:45:13.883304+00:00,True,345.1904,305104,167792,23097,,,,,,,106693379617808158,864691135586051964
8487,2024-05-21 18:38:27.043912+00:00,True,525372,6,6,7100,6,4.16887,4.95514,525372,2020-09-28 22:45:13.883304+00:00,True,345.1904,305104,167792,23097,,,,,,,106693379617808158,864691135586051964
6839,2024-05-21 18:38:26.125863+00:00,True,525385,6,4,6563,6,1.9773,10.2856,525385,2020-09-28 22:41:42.524079+00:00,True,382.9016,309200,168880,22662,,,,,,,107256466943192652,864691136032661947
14681,2024-05-21 18:42:41.474590+00:00,True,525326,8,5,7576,6,20.1486,-6.1506,525326,2020-09-28 22:43:47.370471+00:00,True,360.9659,297280,165392,23283,,,,,,,105637504858005298,864691136040153854
11002,2024-05-21 18:42:39.450805+00:00,True,525356,7,3,6792,6,10.1791,0.3337,525356,2020-09-28 22:45:21.437250+00:00,True,392.82196,301696,171232,22852,,,,,,,106271648122292677,864691135884906096
4193,2024-05-21 18:38:24.642160+00:00,True,525198,5,7,7146,6,6.30058,12.52632,525198,2020-09-28 22:41:35.022759+00:00,True,381.25568,309920,175632,21133,,,,,,,107398097583412209,864691135698376213
8221,2024-05-21 18:38:26.894791+00:00,True,525002,6,6,6312,6,8.74561,6.60949,525002,2020-09-28 22:45:21.683181+00:00,True,398.62927,301984,167216,20488,,,,,,,106271098097677598,864691136066419608
14914,2024-05-21 18:42:41.602703+00:00,True,525251,8,5,8197,6,8.04858,-2.57263,525251,2020-09-28 22:44:15.194890+00:00,True,233.27014,298256,162320,21982,,,,,,,105777829828387251,864691135684185586
7001,2024-05-21 18:38:26.214807+00:00,True,525004,6,4,7049,6,3.41611,11.82629,525004,2020-09-28 22:45:23.256853+00:00,True,416.31253,302560,172384,20398,,,,,,,106342153969988091,864691135926608142
5433,2024-05-21 18:38:25.339818+00:00,True,525271,6,2,6677,6,7.24852,9.06048,525271,2020-09-28 22:42:38.818229+00:00,True,362.64148,303216,174000,22448,,,,,,,106483097885207058,864691135273248017
6840,2024-05-21 18:38:26.126400+00:00,True,525389,6,4,6565,6,8.89302,4.09708,525389,2020-09-28 22:41:10.583273+00:00,True,419.51675,310480,166256,23371,,,,,,,107467229645704691,864691135755197133
8215,2024-05-21 18:38:26.891584+00:00,True,525389,6,6,6292,6,1.92656,9.03934,525389,2020-09-28 22:41:10.583273+00:00,True,419.51675,310480,166256,23371,,,,,,,107467229645704691,864691135755197133
7170,2024-05-21 18:38:26.307821+00:00,True,525145,6,4,7517,6,3.41523,9.51347,525145,2020-09-28 22:45:19.593667+00:00,True,375.20425,303280,171712,21558,,,,,,,106482754220285324,864691136032732603
11116,2024-05-21 18:42:39.512787+00:00,True,525148,7,3,7441,6,9.18095,-0.50983,525148,2020-09-28 22:41:59.706236+00:00,True,448.20135,303728,170224,21822,,,,,,,106552985525856181,864691135545456424
696,2024-05-21 18:38:22.693048+00:00,True,525152,4,7,5590,6,4.65566,10.25274,525152,2020-09-28 22:44:57.242308+00:00,True,299.93533,304352,161344,21425,,,,,,,106622117252491114,864691136091850164
14668,2024-05-21 18:42:41.467377+00:00,True,525152,8,5,7540,6,3.50824,10.10116,525152,2020-09-28 22:44:57.242308+00:00,True,299.93533,304352,161344,21425,,,,,,,106622117252491114,864691136091850164
7151,2024-05-21 18:38:26.297259+00:00,True,525252,6,4,7444,6,3.13258,14.55952,525252,2020-09-28 22:43:30.129517+00:00,True,340.14233,298352,169744,22475,,,,,,,105778860687658652,864691134918300682
688,2024-05-21 18:38:22.688633+00:00,True,525188,4,7,5560,6,8.17969,2.10341,525188,2020-09-28 22:44:37.912731+00:00,True,268.30685,307936,162000,21427,,,,,,,107114835900673727,864691135701317243
4198,2024-05-21 18:38:24.645170+00:00,True,525280,5,7,7162,6,11.2006,-3.55442,525280,2020-09-28 22:45:16.055091+00:00,True,354.58957,304800,173264,21962,,,,,,,106694135331225238,864691135952979747
5432,2024-05-21 18:38:25.339288+00:00,True,525280,6,2,6675,6,2.6247,10.1368,525280,2020-09-28 22:45:16.055091+00:00,True,354.58957,304800,173264,21962,,,,,,,106694135331225238,864691135952979747
9950,2024-05-21 18:42:38.876273+00:00,True,525206,6,7,7043,6,4.21786,7.70224,525206,2020-09-28 22:41:08.221337+00:00,True,355.6634,311344,165472,21193,,,,,,,107607829426489976,864691136912249073
4298,2024-05-21 18:38:24.701766+00:00,True,525437,5,7,7503,6,4.14507,15.34613,525437,2020-09-28 22:41:34.525173+00:00,True,427.34732,302896,176320,23600,,,,,,,106413004219842337,864691135995328426
4268,2024-05-21 18:38:24.685318+00:00,True,525456,5,7,7411,6,9.1406,5.0224,525456,2020-09-28 22:43:41.108760+00:00,True,399.2019,306096,172992,24018,,,,,,,106834804368537500,864691136090161975
5633,2024-05-21 18:38:25.452228+00:00,True,525456,6,2,7361,6,3.9982,13.1521,525456,2020-09-28 22:43:41.108760+00:00,True,399.2019,306096,172992,24018,,,,,,,106834804368537500,864691136090161975
5662,2024-05-21 18:38:25.468536+00:00,True,525324,6,2,7520,6,6.91184,5.57796,525324,2020-09-28 22:42:54.847517+00:00,True,399.51892,296752,172816,23216,,,,,,,105568166905884000,864691135341842353
