id,created,valid,target_id,session,scan_idx,unit_id,pref_ori,pref_dir,gOSI,gDSI,cc_abs,cc_max,cc_norm,OSI,DSI,readout_loc_x,readout_loc_y,id_ref,created_ref,valid_ref,volume,pt_position_x,pt_position_y,pt_position_z,bb_start_position_x,bb_start_position_y,bb_start_position_z,bb_end_position_x,bb_end_position_y,bb_end_position_z,pt_supervoxel_id,pt_root_id
4995,2025-07-30 17:51:26.779582+00:00,True,358317,6,4,1495,94.23651,274.2365,0.0805156,0.0282043,0.235656,0.551426,0.42735744,0.16846035,0.059629746,-0.070608914,-0.07328105,358317,2020-09-28 22:43:16.672498+00:00,True,410.83142,226224,102480,25531,,,,,,,95847797190308440,864691135715544346
10138,2025-07-30 17:52:09.375336+00:00,True,359620,7,5,2393,89.12817,89.12817,0.129515,0.0571583,0.347557,0.719543,0.48302466,0.24777332,0.17152034,-0.04817319,-0.074610114,359620,2020-09-28 22:44:32.675533+00:00,True,261.44833,221040,120144,22379,,,,,,,95146514527468932,864691135937944580
9173,2025-07-30 17:51:51.250264+00:00,True,359631,7,3,2424,71.22595,251.22595,0.310874,0.177268,0.345032,0.472517,0.7302002,0.56586784,0.40495726,-0.117289364,0.04685223,359631,2020-09-28 22:43:12.441280+00:00,True,333.78714,222944,125728,22155,,,,,,,95428745418163708,864691136674420615
5006,2025-07-30 17:51:47.761704+00:00,True,358354,6,4,1523,34.355064,34.355064,0.0886178,0.144564,0.43653,0.508218,0.85894245,0.14145063,0.43893915,-0.10879266,-0.003761053,358354,2020-09-28 22:45:11.443649+00:00,True,333.77567,217040,104048,25775,,,,,,,94581366020353857,864691135468164690
9994,2025-07-30 17:51:51.864393+00:00,True,359622,7,5,1873,6.0422606,186.04227,0.298283,0.119299,0.509994,0.732939,0.6958205,0.5485754,0.29777285,-0.07892996,-0.13187307,359622,2020-09-28 22:44:51.964401+00:00,True,291.66058,221280,119744,21937,,,,,,,95216814485154687,864691135502572866
14701,2025-07-30 17:52:13.225653+00:00,True,359622,9,4,7435,176.96532,356.9653,0.235192,0.0388882,0.413169,0.293168,1.409325,0.43391213,0.05090871,-0.09046465,-0.040360034,359622,2020-09-28 22:44:51.964401+00:00,True,291.66058,221280,119744,21937,,,,,,,95216814485154687,864691135502572866
9995,2025-07-30 17:51:51.865076+00:00,True,359610,7,5,1874,85.12549,85.12549,0.0788707,0.098872,0.0999028,0.523452,0.19085379,0.14474767,0.28979564,-0.10284698,-0.053679585,359610,2020-09-28 22:45:07.941163+00:00,True,323.96033,218448,123008,21853,,,,,,,94795014336871013,864691136125570854
1348,2025-07-30 17:51:23.962245+00:00,True,359734,5,6,1762,80.38984,260.38983,0.389801,0.0575304,0.482888,0.784698,0.6153807,0.6434786,0.17335136,-0.08788091,-0.011945605,359734,2020-09-28 22:45:12.088844+00:00,True,338.37482,224896,115696,22826,,,,,,,95708846072657452,864691134965179167
14217,2025-07-30 17:52:12.820494+00:00,True,359734,9,4,4599,79.46165,259.46164,0.424641,0.0173299,0.263493,0.46466,0.56706625,0.7413454,0.034535922,-0.08174509,0.002517581,359734,2020-09-28 22:45:12.088844+00:00,True,338.37482,224896,115696,22826,,,,,,,95708846072657452,864691134965179167
15567,2025-07-30 17:52:31.860386+00:00,True,359708,9,6,4552,55.056202,55.056202,0.0532725,0.129498,0.172247,0.63813,0.2699246,0.015125249,0.39008883,-0.15820813,0.0012384653,359708,2020-09-28 22:41:03.256347+00:00,True,353.39468,218688,127312,23225,,,,,,,94866001757473891,864691135731368377
19,2025-07-30 17:51:22.709609+00:00,True,358136,4,7,746,74.59838,254.59837,0.290079,0.0861474,0.797668,0.770103,1.0357939,0.5283248,0.23136514,-0.09903002,-0.01939553,358136,2020-09-28 22:43:30.124323+00:00,True,332.8675,228000,95888,23897,,,,,,,96128378612379759,864691135800086882
2667,2025-07-30 17:51:24.982585+00:00,True,359718,5,7,2129,58.31549,238.31549,0.291191,0.0675671,0.347616,0.582461,0.59680563,0.5163374,0.16075476,-0.15956783,-0.04396987,359718,2020-09-28 22:42:21.219486+00:00,True,278.70068,220624,111520,23324,,,,,,,95074977686356191,864691135856679726
1418,2025-07-30 17:51:24.016911+00:00,True,359743,5,6,2058,87.38795,267.38794,0.38358,0.0266939,0.31897,0.74701,0.42699564,0.63404506,0.027051458,-0.08187008,-0.03289467,359743,2020-09-28 22:43:55.635500+00:00,True,376.25543,228240,115440,22653,,,,,,,96131058537514088,864691136238286396
14441,2025-07-30 17:52:13.003516+00:00,True,359743,9,4,5207,37.71111,37.71111,0.12331,0.0613948,0.154868,0.486935,0.31804657,0.23663412,0.18879014,-0.058631003,0.014525533,359743,2020-09-28 22:43:55.635500+00:00,True,376.25543,228240,115440,22653,,,,,,,96131058537514088,864691136238286396
14485,2025-07-30 17:52:13.055208+00:00,True,359612,9,4,5351,96.91982,96.91982,0.379011,0.167717,0.339103,0.585198,0.5794671,0.637666,0.42748803,-0.04361546,-0.086454034,359612,2020-09-28 22:42:09.337935+00:00,True,285.41568,218960,117552,22448,,,,,,,94864695953439547,864691135889394313
5156,2025-07-30 17:51:48.120258+00:00,True,358363,6,4,1947,177.51993,357.51993,0.204606,0.0961306,0.390764,0.595335,0.65637666,0.39718515,0.29948658,-0.15881342,0.011397719,358363,2020-09-28 22:45:23.267998+00:00,True,416.8255,220272,102256,25767,,,,,,,95073741071164216,864691135754992589
14022,2025-07-30 17:52:12.686513+00:00,True,359655,9,4,2491,0.35924396,0.35924396,0.0868687,0.070551,0.368239,0.333095,1.1055075,0.17327218,0.12805432,-0.06129718,-0.0309574,359655,2020-09-28 22:41:42.765869+00:00,True,265.7157,227552,115264,22270,,,,,,,96060621006903700,864691135909748393
15169,2025-07-30 17:52:31.221842+00:00,True,359745,9,6,1767,98.72464,98.72464,0.216691,0.191194,0.402319,0.572448,0.70280445,0.42065695,0.44378406,-0.102538824,0.052945375,359745,2020-09-28 22:41:48.258618+00:00,True,258.63815,228304,120400,23238,,,,,,,96131677080020357,864691135374673737
1347,2025-07-30 17:51:23.961526+00:00,True,359640,5,6,1761,36.331676,216.33168,0.218841,0.0870121,0.154769,0.572201,0.27048013,0.40431204,0.021709297,-0.16553456,-0.13677722,359640,2020-09-28 22:45:02.820573+00:00,True,311.4392,224688,117088,21879,,,,,,,95638683352769969,864691135416512954
14214,2025-07-30 17:52:12.818590+00:00,True,359640,9,4,4596,10.92006,10.92006,0.0913645,0.0873608,0.247074,0.447902,0.55162513,0.1945139,0.34288636,-0.024311543,-0.038114548,359640,2020-09-28 22:45:02.820573+00:00,True,311.4392,224688,117088,21879,,,,,,,95638683352769969,864691135416512954
14702,2025-07-30 17:52:13.226418+00:00,True,359632,9,4,7438,93.103195,273.1032,0.344646,0.0945403,0.268244,0.48085,0.5578538,0.59235775,0.2679641,-0.057660043,-0.015050948,359632,2020-09-28 22:45:07.996828+00:00,True,324.30817,223056,119632,22230,,,,,,,95427920784534283,864691136813939571
14228,2025-07-30 17:52:12.828775+00:00,True,359686,9,4,4625,14.612563,194.61256,0.0777658,0.0717282,0.201824,0.716148,0.28181884,0.15279488,0.09167747,-0.07957578,0.07796514,359686,2020-09-28 22:43:37.835786+00:00,True,131.34544,216384,116608,22963,,,,,,,94512714860741581,864691135667667517
14694,2025-07-30 17:52:13.219988+00:00,True,359660,9,4,7410,36.382305,36.382305,0.109139,0.0980087,0.148181,0.456113,0.32487783,0.21258458,0.24894784,-0.08425778,0.096609116,359660,2020-09-28 22:41:38.902257+00:00,True,319.48553,228960,121376,22258,,,,,,,96272551873129324,864691135866586245
9996,2025-07-30 17:51:51.865794+00:00,True,359672,7,5,1876,74.36862,254.36862,0.109641,0.0312165,0.203882,0.614533,0.33176738,0.21641017,0.0077511827,-0.095778525,-0.0702427,359672,2020-09-28 22:40:49.675021+00:00,True,337.99323,213696,118448,23382,,,,,,,94161077365279157,864691135518989962
14714,2025-07-30 17:52:13.235876+00:00,True,359672,9,4,7469,86.54569,266.5457,0.0576903,0.0675106,0.364912,0.580941,0.6281395,0.14036086,0.25379232,-0.08926922,0.00045490265,359672,2020-09-28 22:40:49.675021+00:00,True,337.99323,213696,118448,23382,,,,,,,94161077365279157,864691135518989962
13823,2025-07-30 17:52:12.536832+00:00,True,359649,9,4,1798,94.14312,274.14313,0.208136,0.072973,0.167935,0.389558,0.43109113,0.40046972,0.24398208,-0.088917315,0.025733232,359649,2020-09-28 22:44:26.981840+00:00,True,253.18457,225632,114144,22035,,,,,,,95779008590949111,864691136311059034
9997,2025-07-30 17:51:51.866518+00:00,True,359716,7,5,1877,89.369385,89.369385,0.271249,0.0361961,0.486374,0.659112,0.73792315,0.4965962,0.04743999,-0.04645288,-0.02872324,359716,2020-09-28 22:44:47.561453+00:00,True,283.13354,220448,121344,22701,,,,,,,0,0
2574,2025-07-30 17:51:24.907752+00:00,True,359701,5,7,1747,111.76042,291.76044,0.299848,0.107807,0.40483,0.83631,0.4840669,0.5419424,0.2774415,-0.07936776,-0.048439503,359701,2020-09-28 22:45:11.352577+00:00,True,333.15128,218704,112816,22656,,,,,,,94864008825459898,864691135397428513
13999,2025-07-30 17:52:12.671135+00:00,True,359701,9,4,2407,145.9746,325.9746,0.0927322,0.0902035,0.409483,0.838417,0.48840016,0.1829849,0.26700184,-0.07039344,-0.059874415,359701,2020-09-28 22:45:11.352577+00:00,True,333.15128,218704,112816,22656,,,,,,,94864008825459898,864691135397428513
2663,2025-07-30 17:51:24.979825+00:00,True,358368,5,7,2115,36.974228,36.974228,0.0807079,0.0933873,0.288767,0.811722,0.35574618,0.15608625,0.27980465,-0.079767704,-0.01706785,358368,2020-09-28 22:43:31.885612+00:00,True,302.24973,221952,109568,26166,,,,,,,95285809443339755,864691135660968944
10045,2025-07-30 17:52:09.306947+00:00,True,359656,7,5,2075,74.79219,74.79219,0.177108,0.0354586,0.437036,0.704991,0.61991715,0.34731838,0.02590496,-0.05389726,-0.092140436,359656,2020-09-28 22:41:14.274240+00:00,True,292.58466,227072,121200,22586,,,,,,,95991076963319998,864691135307543366
15167,2025-07-30 17:52:31.220447+00:00,True,359656,9,6,1764,105.3446,105.3446,0.031185,0.115958,0.437483,0.564169,0.7754467,0.049368113,0.3635969,-0.08643997,0.07990992,359656,2020-09-28 22:41:14.274240+00:00,True,292.58466,227072,121200,22586,,,,,,,95991076963319998,864691135307543366
2731,2025-07-30 17:51:25.027157+00:00,True,359707,5,7,2332,13.275604,13.275604,0.0468222,0.145408,0.478715,0.637002,0.7515125,0.019066567,0.42643154,-0.083072186,0.014770865,359707,2020-09-28 22:45:09.258667+00:00,True,326.01685,219408,112400,23089,,,,,,,94934377636650080,864691135874147214
13923,2025-07-30 17:52:12.619541+00:00,True,359707,9,4,2175,96.45,96.45,0.225183,0.0953835,0.315523,0.179438,1.7583957,0.43650737,0.20168272,-0.0370847,-0.087309,359707,2020-09-28 22:45:09.258667+00:00,True,326.01685,219408,112400,23089,,,,,,,94934377636650080,864691135874147214
14216,2025-07-30 17:52:12.819861+00:00,True,359646,9,4,4598,54.088707,54.088707,0.090109,0.0876192,0.235596,0.454489,0.5183756,0.17718323,0.16327459,-0.063084126,-0.0064255595,359646,2020-09-28 22:43:26.100308+00:00,True,314.86377,225392,116176,22483,,,,,,,95779283469406122,864691136923749860
10974,2025-07-30 17:52:10.280499+00:00,True,359728,8,5,2318,146.53682,146.53682,0.162507,0.0944739,0.259559,0.511024,0.5079194,0.31807303,0.24300979,-0.104997694,-0.006603956,359728,2020-09-28 22:42:03.105176+00:00,True,313.35532,223392,126800,23100,,,,,,,95499251735449684,864691135655168706
