neuron_id,brain_area,layer,cell_type,pref_ori,gOSI,x,y,z,out_degree,in_degree,out_strength,in_strength
864691135060727707,V1,L2/3,23P,69.71621,0.34216,668.6850154449779,94.2608510070818,891.6800000000003,9,18,9,18
864691134989865338,V1,L2/3,23P,96.20305,0.242556,807.7269028882862,195.40403031346116,974.7200000000003,5,21,5,21
864691135430004016,RL,L4,4P,23.880156,0.149677,1089.3642764959454,324.7625931818686,826.7600000000002,4,4,4,4
864691135738047620,V1,L5,5P-IT,5.645201,0.146041,746.3454437014992,479.90489533165544,856.3200000000003,9,6,9,6
864691134887026938,V1,L4,4P,98.40879,0.161114,615.8086273739332,305.04647306077004,947.4800000000002,26,16,26,16
864691137056393846,V1,L4,4P,116.70176,0.34697,654.2628480369301,264.9815199820313,830.1200000000002,13,16,13,16
864691135274195217,V1,L2/3,23P,31.851469,0.190451,666.142242580599,121.85624254552857,904.6000000000003,16,23,16,23
864691135757040082,V1,L4,4P,92.89422,0.185359,707.6287975757547,287.25342025613503,829.0000000000002,18,26,18,26
864691135860969064,V1,L4,4P,106.3106,0.288733,895.7132179682765,345.5318245377308,847.6000000000003,13,6,13,6
864691136043380566,V1,L2/3,23P,83.39271,0.243358,688.3111385080762,121.80419106438285,829.7600000000002,12,16,12,16
864691135689417440,V1,L5,5P-IT,103.75964,0.232142,658.9599019819995,388.99881846993213,875.0000000000002,28,25,28,25
864691136124845606,RL,L2/3,23P,112.452705,0.456631,1157.595567339688,182.26308837642492,706.2000000000002,0,4,0,4
864691135741910164,V1,L5,5P-IT,89.55731,0.533024,609.5409286331484,478.0224328716489,876.0000000000002,6,6,6,6
864691135816693327,V1,L2/3,23P,10.875771,0.162947,794.114869622622,191.64335293106683,879.0000000000002,8,13,8,13
864691136742067804,V1,L2/3,23P,86.34402,0.395065,703.7858087043185,210.0165721813073,894.2000000000003,26,31,26,31
864691135135019168,V1,L2/3,23P,63.32658,0.350885,670.3528282649409,216.92096925420228,854.3200000000003,34,17,34,17
864691136381301461,V1,L4,4P,99.94848,0.240112,634.331151018779,348.87560042860764,829.7600000000002,38,24,38,24
864691135386963541,V1,L4,4P,165.03133,0.172266,800.7444147966332,304.58694031337797,936.0800000000003,24,14,24,14
864691135719900721,V1,L4,4P,64.123146,0.149008,633.9317627083501,338.7542767514648,893.6400000000002,47,40,47,40
864691136314404669,V1,L2/3,23P,114.95481,0.317137,639.5949598944317,129.3630601122954,817.9600000000003,18,21,18,21
864691135970226021,V1,L2/3,23P,96.12498,0.322844,700.4496345466758,128.45544071545598,905.2400000000002,18,16,18,16
864691135584008045,V1,L4,4P,71.51071,0.17592,693.914453299245,256.75809246538375,800.9200000000003,36,21,36,21
864691135014355094,AL,L5,5P-IT,111.61833,0.210499,1255.3363031464405,375.838367180188,708.4000000000001,10,2,10,2
864691135384285931,V1,L4,4P,100.79172,0.162213,777.7438234875435,262.7430781657197,822.0800000000003,7,8,7,8
864691135324623260,V1,L5,5P-IT,94.46168,0.480894,614.9838398630295,381.296743391844,851.6800000000003,18,22,18,22
864691136125457446,V1,L4,4P,112.98712,0.582521,563.2392869256913,322.8685716138823,832.4000000000002,29,23,29,23
864691135975824495,V1,L2/3,23P,173.1202,0.380164,890.3875008250375,162.61159099067288,851.7600000000002,7,6,7,6
864691135595040043,V1,L4,4P,123.92432,0.199089,924.8256432108434,315.31415221678657,878.3200000000003,3,10,3,10
864691135497743635,AL,L4,4P,113.92334,0.114327,1277.1787863897277,264.2293590591285,785.5200000000001,20,13,20,13
864691136579408916,V1,L4,4P,65.612686,0.231882,881.5600062078807,337.6763985871287,832.5200000000002,17,10,17,10
864691136976001308,V1,L2/3,23P,102.97828,0.112992,689.8532876532628,125.47255746020545,861.8800000000002,19,26,19,26
864691135842486243,V1,L2/3,23P,117.58855,0.0906702,711.3217876633166,207.59215036785633,878.0000000000002,16,30,16,30
864691135343818161,V1,L2/3,23P,152.441,0.273555,697.3179959412803,163.5159161207496,818.5200000000002,4,23,4,23
864691135694246079,V1,L4,4P,92.12703,0.527743,700.6160203018951,254.3249135346446,848.8400000000003,14,22,14,22
864691137198382657,V1,L2/3,23P,77.30518,0.291733,1009.2118558283827,159.25905850925187,874.7200000000003,1,7,1,7
864691135656579010,V1,L5,5P-IT,89.26209,0.517977,685.1091549084775,421.2887489651667,817.8000000000003,30,22,30,22
864691136125433894,V1,L4,4P,160.08957,0.13664,840.7566803535783,264.33707615211006,861.8400000000003,15,26,15,26
864691135811335116,V1,L6,6P-IT,104.89238,0.31657,678.4010566674356,551.5678509961085,888.5600000000003,6,6,6,6
864691136619096795,V1,L5,5P-IT,93.17153,0.452389,618.6579576920193,395.1095256669217,882.0000000000002,15,31,15,31
864691135405626862,V1,L2/3,23P,7.7571235,0.528657,698.3354113849574,137.20045143142733,874.8000000000003,9,13,9,13
864691135764015926,V1,L4,4P,24.56083,0.162675,775.1501264052503,297.52939500791075,999.7200000000003,9,7,9,7
864691135890141321,V1,L2/3,23P,98.03006,0.381967,493.0252442698198,188.42943306442774,893.5200000000002,9,7,9,7
864691135577221406,V1,L5,6P-IT,93.908775,0.0967014,670.3935513988715,507.24529020170127,913.4800000000002,11,12,11,12
864691136991359893,V1,L4,4P,53.211586,0.421768,701.024888239704,256.9947080977959,860.7600000000002,13,20,13,20
864691135102381856,V1,L2/3,23P,171.2575,0.391292,705.653358387474,164.43789924997958,892.2400000000002,24,23,24,23
864691135464795710,V1,L2/3,23P,98.880486,0.35065,684.142806920548,98.95394494368614,816.6400000000002,8,15,8,15
864691135802453858,V1,L2/3,23P,83.51532,0.388644,730.2832939090589,97.33720115970209,943.4400000000003,9,11,9,11
864691135388828033,V1,L6,6P-IT,71.96063,0.147313,667.7535542685996,535.2176425366793,912.8400000000003,1,11,1,11
864691137198691137,V1,L2/3,23P,89.22943,0.21743,639.975706707053,111.79338647091319,882.7600000000002,26,27,26,27
864691135591041291,V1,L2/3,23P,61.24789,0.0766809,600.9084008376958,131.6961825586517,919.8800000000002,16,28,16,28
864691135470787666,V1,L2/3,23P,10.542845,0.10151,687.177048321163,190.575042443786,865.0000000000002,12,21,12,21
864691136010028974,RL,L5,5P-IT,8.461288,0.119088,1059.9923747063629,384.38153132456875,882.0000000000002,5,6,5,6
864691135124146727,V1,L6,6P-IT,88.59474,0.22396,613.2010583085766,523.5707593256367,913.2800000000002,1,15,1,15
864691135849426270,V1,L5,5P-IT,32.72548,0.444429,928.7802492548736,396.4154337050375,782.6400000000001,4,6,4,6
864691135732210873,V1,L2/3,23P,110.542885,0.209196,690.7530459085369,195.96321479209647,852.2800000000002,10,37,10,37
864691135209432185,V1,L4,23P,99.18858,0.433016,626.5868504914437,252.34531327818877,853.4000000000002,10,21,10,21
864691136120658712,V1,L2/3,23P,106.16893,0.144915,760.1892360886437,186.55517709701724,913.5600000000003,22,16,22,16
864691136380264149,AL,L5,5P-IT,178.37593,0.0890443,1271.4673523861566,365.49291318213386,721.2000000000002,8,4,8,4
864691135504327861,V1,L2/3,23P,9.37401,0.380596,628.9585847831008,181.17720741292223,821.7600000000002,17,28,17,28
864691135502730562,AL,L2/3,23P,9.79139,0.354362,1291.8965866039193,231.85289765805595,771.8400000000001,1,6,1,6
