pre_pt_root_id,post_pt_root_id,synapse_count,synapse_size_sum
864691135386963541,864691135504168285,1,2236.0
864691135386963541,864691135764015926,1,3088.0
864691135386963541,864691136953677535,1,5528.0
864691135430486576,864691135375590217,1,384.0
864691135455819114,864691135725842603,1,11724.0
864691135455819114,864691136085781356,1,5184.0
864691135455819114,864691136091074615,2,25428.0
864691135455819114,864691136120159768,1,13552.0
864691135465113157,864691135357351375,1,2904.0
864691135465113157,864691135374981320,1,5588.0
864691135465113157,864691136523335057,1,4024.0
864691135466236229,864691135810982860,1,17024.0
864691135466236229,864691136058745048,1,4304.0
864691135466236229,864691136905758130,1,15068.0
864691135474504498,864691135357351375,1,2612.0
864691135474504498,864691135808925981,1,1024.0
864691135480916422,864691135280682401,2,11732.0
864691135480916422,864691136006519498,1,1052.0
864691135480916422,864691136023889209,1,1320.0
864691135480916422,864691136953677535,1,10556.0
864691135499231763,864691135102433056,1,4564.0
864691135499231763,864691135990004992,1,416.0
864691135499707667,864691135375590217,1,3376.0
864691135499707667,864691135465113157,1,300.0
864691135499707667,864691135760106830,1,2552.0
864691135499707667,864691135942924148,1,3608.0
864691135499707667,864691136033332155,1,888.0
864691135499707667,864691136058745048,1,2960.0
864691135499707667,864691136664127454,1,1592.0
864691135499707667,864691136905758130,1,15748.0
864691135504168285,864691135592830731,1,13196.0
864691135504168285,864691136033332155,1,4604.0
864691135504168285,864691136058745048,1,2172.0
864691135504168285,864691136484732972,1,1864.0
864691135504168285,864691136523335057,1,19064.0
864691135562004193,864691135294520844,1,8368.0
864691135562004193,864691135504168285,1,380.0
864691135562004193,864691135694415551,2,16692.0
864691135562004193,864691136010639022,1,5524.0
864691135562004193,864691136313406781,1,6960.0
864691135569902316,864691136058745048,1,1196.0
864691135577816862,864691135357351375,1,4840.0
864691135577816862,864691135386963541,1,1212.0
864691135577816862,864691135430275120,1,9248.0
864691135577816862,864691135480916422,3,33720.0
864691135583172717,864691136033332155,2,3988.0
864691135592830731,864691135374981320,1,2272.0
864691135611019015,864691135258563503,2,14820.0
864691135611019015,864691136524297617,1,6228.0
864691135646481135,864691135763795510,1,4964.0
864691135725748139,864691135465343045,1,4328.0
864691135725748139,864691136012739747,1,3732.0
864691135725748139,864691136085781356,1,14824.0
864691135725842603,864691134949081852,1,2888.0
864691135725842603,864691134966714655,2,17532.0
864691135725842603,864691135102433056,4,57268.0
864691135725842603,864691135294520844,1,2028.0
864691135725842603,864691135357351375,1,12584.0
864691135725842603,864691135562004193,1,9184.0
864691135725842603,864691136975624220,1,11796.0
864691135742189163,864691135375888840,1,4428.0
864691135742189163,864691136043283030,1,7904.0
864691135751110185,864691135592830731,1,4380.0
864691135751110185,864691135725842603,1,392.0
864691135751110185,864691136058745048,1,3660.0
864691135760106830,864691135124603687,1,1188.0
864691135760106830,864691135465113157,1,3300.0
864691135760106830,864691135504168285,1,1628.0
864691135760106830,864691135751110185,1,3172.0
864691135760106830,864691136524297617,1,4348.0
864691135763795510,864691134966069023,1,3212.0
864691135763795510,864691135430486576,1,15388.0
864691135763795510,864691136107283417,1,536.0
864691135765013302,864691135725842603,2,23460.0
864691135765013302,864691136975624220,1,16560.0
864691135779020221,864691135504168285,1,12936.0
864691135779020221,864691135742189163,1,1264.0
864691135782506832,864691135280682401,1,7204.0
864691135782506832,864691136006519498,1,4376.0
864691135782506832,864691136043283030,1,4184.0
864691135782506832,864691136120159768,1,3936.0
864691135810982860,864691136120159768,1,3936.0
864691135810982860,864691136664127454,1,18480.0
864691135927381774,864691135258563503,1,13324.0
864691135927381774,864691135294520844,1,6448.0
864691135927381774,864691135694415551,1,2732.0
864691135927381774,864691136211371452,1,6968.0
