id,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,size
175359142,90507606250084356,864691136058745048,90507606250084356,864691136058745048,304.0
175483120,90156724467885465,864691136058745048,90156724467885465,864691136058745048,928.0
181952949,91001149397872525,864691136058745048,91001149397872525,864691136058745048,2508.0
213121091,93746011725652406,864691136058745048,93746080445154961,864691135942924148,1924.0
224400767,94026180764022630,864691135569902316,94026180764030466,864691136058745048,1196.0
203325414,92692404104261959,864691136058745048,92692404104261959,864691136058745048,3968.0
241454040,95858791635246053,864691136058745048,95858791635246053,864691136058745048,196.0
222698097,94096205507767574,864691136058745048,94096205507767574,864691136058745048,2256.0
228008338,94525084634748778,864691135988742147,94525084634748778,864691135988742147,2608.0
261623715,97614505747806953,864691135988742147,97614505747806953,864691135988742147,728.0
261624003,97684874491909534,864691135988742147,97684874491909534,864691135988742147,176.0
252620599,96348143566185355,864691135763795510,96348143566185355,864691135763795510,188.0
258616091,96911024263260242,864691135988742147,96911024263260242,864691135988742147,804.0
288492179,99725224475627439,864691135988742147,99725224475627439,864691135988742147,456.0
261675771,97403468234641451,864691135988742147,97403468234641451,864691135988742147,492.0
261623238,97473836978990727,864691135988742147,97473836978990727,864691135988742147,624.0
257483908,97051761818436604,864691135988742147,97051761818436604,864691135988742147,224.0
200519992,92766072322832442,864691135988742147,92766072322832442,864691135988742147,220.0
223392003,94447637649960971,864691135942924148,94447637649960971,864691135942924148,184.0
209093985,93182030577446954,864691135942924148,93182030577446954,864691135942924148,432.0
223392089,94447637650280124,864691135942924148,94447637650280124,864691135942924148,216.0
222648798,94096962026416402,864691135942924148,94096962026416402,864691135942924148,160.0
219681789,94025974739457908,864691135942924148,94025974739457908,864691135942924148,2068.0
224420533,93953888142861330,864691135942924148,93953888142861330,864691135942924148,960.0
216683954,93463162023835185,864691135942924148,93463162023835185,864691135942924148,416.0
223391666,94377131466953334,864691135942924148,94377131466953334,864691135942924148,1204.0
229786884,94800374657342551,864691135942924148,94800374657342551,864691135942924148,2676.0
214731970,93950452169261816,864691135942924148,93950452169261816,864691135942924148,3860.0
243720607,95994032169366688,864691135942924148,95994032169366688,864691135942924148,200.0
224422160,94094763070293341,864691135942924148,94094763070293341,864691135942924148,372.0
236705288,95291443971188087,864691135942924148,95291443971188087,864691135942924148,316.0
168041018,89592193630956691,864691135810982860,89592193630956691,864691135810982860,884.0
174693835,90364325604618404,864691135810982860,90364325604618404,864691135810982860,184.0
180622857,90859862355080611,864691136033332155,90859862355077033,864691135810982860,3372.0
234082889,95574568282253814,864691136953677535,95574568282250249,864691135942924148,3972.0
193134078,92127530408593840,864691136091074615,92127530408594954,864691136058745048,8256.0
133097244,87200137902305497,864691136664127454,87200137902305497,864691136664127454,320.0
140613114,87270506713118953,864691136664127454,87270506713118953,864691136664127454,708.0
147929865,87905130477219507,864691136125440038,87905130477219507,864691136125440038,3464.0
265013391,97754624357991090,864691134886499066,97754624357991090,864691134886499066,684.0
189386405,91353955124430227,864691136239902780,91353955124430227,864691136239902780,2332.0
150880418,88677812475073499,864691136177799686,88677812475074832,864691136177799686,196.0
133017946,87200000530015754,864691136664127454,87200000530015754,864691136664127454,292.0
129193120,86778200382221052,864691136664127454,86778200382221052,864691136664127454,336.0
189994418,91353130691958385,864691135751110185,91353130691948451,864691135592830731,4380.0
161635385,89312024660035043,864691136975624220,89312024660033903,864691135102433056,18696.0
194819754,91846398827734616,864691136313406781,91846398827736337,864691136239902780,5520.0
159363634,89311268879751064,864691136006519498,89311268879751064,864691136006519498,200.0
153681768,88747356518042634,864691135725842603,88747356518044750,864691134966714655,12552.0
203578219,92477450117802706,864691135592830731,92477450117802706,864691135592830731,228.0
198973801,92337056159973406,864691135592830731,92337056159973406,864691135592830731,228.0
202600937,92263732478268183,864691135592830731,92263732478268183,864691135592830731,364.0
195571513,91917866613687896,864691136664127454,91917866613687896,864691136664127454,204.0
103281715,84807462489761648,864691136006519498,84877831233933895,864691136125440038,13140.0
111633376,85300662174628319,864691136006519498,85300662174634224,864691136125440038,13292.0
133411978,87060430333387314,864691135375888840,87060430333380939,864691136125440038,9188.0
154585652,88820198895283847,864691135499231763,88820198895290213,864691135102433056,4564.0
87781301,83330131514690707,864691135276505573,83400500258855528,864691135276505573,292.0
87781084,83329856636753935,864691135276505573,83329856636744350,864691135276505573,580.0
87781048,83330131514670700,864691135276505573,83330131514656577,864691135276505573,208.0
87780989,83259487892561593,864691135276505573,83259487892550569,864691135276505573,644.0
203242793,92478342934602918,864691135808925981,92478342934602918,864691135808925981,592.0
174525012,90014612522920662,864691135725842603,90014612522920662,864691135725842603,196.0
244818301,95784230734468835,864691134886499066,95784230734468835,864691134886499066,928.0
171450578,90155350011202774,864691136023889209,90225718755377371,864691135102433056,6712.0
139983674,87761438387006602,864691136975624220,87761438387006575,864691134966714655,7316.0
145744519,88044906564023438,864691136010639022,87974537819848669,864691135360809560,284.0
158580776,89175203711776479,864691136211371452,89175203711776479,864691136211371452,1196.0
179354578,90930024739670566,864691136211371452,90930024739670566,864691136211371452,200.0
175015031,90436619098071091,864691136211371452,90436619098071091,864691136211371452,384.0
196362887,92058329492627115,864691136211371452,92058329492627115,864691136211371452,280.0
113923077,85378591000908742,864691136211371452,85378591000908742,864691136211371452,1052.0
189505906,91423980137297614,864691136211371452,91423980137297614,864691136211371452,972.0
171413097,90297049572381340,864691135927381774,90297049572372066,864691136211371452,6968.0
198589888,92000262339956521,864691136211371452,92000262339956521,864691136211371452,1124.0
181935004,91141130972012791,864691136211371452,91141130972012791,864691136211371452,1672.0
174525780,90225512597211278,864691135725842603,90225512597211278,864691135725842603,816.0
167647082,90014200206028311,864691135725842603,90014200206028311,864691135725842603,300.0
174525443,90155075133499722,864691135725842603,90155075133499722,864691135725842603,556.0
154268755,88537143705849454,864691134966714655,88537143705843011,864691134966714655,384.0
153760872,88817794249992208,864691134966069023,88817794250002166,864691136006519498,6992.0
271963225,98247343610061886,864691135430486576,98247343610061886,864691135430486576,7788.0
179353216,90718712348675435,864691134966714655,90718712348678683,864691136239902780,260.0
244904743,96066256138394168,864691135430486576,96066256138394168,864691135430486576,884.0
261799493,97543724821194537,864691135430486576,97543724821194537,864691135430486576,5640.0
244902882,95714343698119484,864691135430486576,95714343698119484,864691135430486576,536.0
244700595,95855218625482117,864691135430486576,95855218625482117,864691135430486576,792.0
244701155,95995818741422414,864691135430486576,95995818741422414,864691135430486576,1176.0
161369804,89030961664683163,864691136954028511,89030961664675583,864691135725842603,968.0
152589480,88395581717990992,864691135375888840,88395581717996310,864691134966714655,3496.0
133017651,87059056883210194,864691136085781356,87059056883198733,864691136664127454,1348.0
214722691,93672275525711680,864691135504168285,93672275525719653,864691136523335057,19064.0
168252099,89592262685750641,864691135751110185,89592262685729342,864691135725842603,392.0
69881438,82133175400360837,864691135276505573,82133175400360837,864691135276505573,216.0
269151944,98464428169007050,864691135725842603,98464428169007050,864691135725842603,356.0
162431819,89243168079531241,864691135375888840,89243168079524056,864691136905758130,1448.0
265013603,97754624357886361,864691134886499066,97754624357886361,864691134886499066,192.0
153355198,88392970243880366,864691134966714655,88392970243880366,864691134966714655,2996.0
145762038,87834555775689836,864691135725842603,87834555775689836,864691135725842603,1020.0
179351870,90648068726726854,864691135927381774,90648068726716078,864691135258563503,13324.0
111631670,85019462075930594,864691136125440038,85019462075931938,864691136125440038,11960.0
