matrix_index,pt_root_id,brain_area,layer,cell_type,valid_function,x_um,y_um,z_um,mean_dist_um,out_degree,in_degree,out_strength,in_strength,mean_fcorr_signed,mean_fcorr_pos_clipped,mean_fcorr_abs,mean_fcorr_pairdist_resid,mean_fcorr_same_area,mean_dist_same_area,total_degree,total_strength
12,864691136210344892,RL,L5,5P-IT,True,1256.5432543693262,478.7993575636608,771.5600000000002,540.4647984812104,6.0,5.0,116148.0,23596.0,0.03241875057091464,0.08777967630604831,0.14314060204118195,0.026261362420600832,0.11172072369204109,271.4191156846012,11.0,139744.0
13,864691136006519498,V1,L4,4P,True,654.261634304255,298.77400480524085,887.8800000000002,244.36656823564198,20.0,10.0,214972.0,65400.0,0.004252737355124687,0.046710829907634185,0.0891689224601437,-0.027749001405964993,0.015822021954969855,159.72558397911007,30.0,280372.0
14,864691135954393891,V1,L5,4P,True,650.790809120527,361.9438829161253,897.8800000000002,260.35257272490406,22.0,32.0,218628.0,274816.0,0.04427477981684482,0.07784339200210794,0.11141200418737104,0.014277927493714999,0.06332024593991695,177.05400728502934,54.0,493444.0
15,864691136120663064,V1,L2/3,23P,True,883.3849835105266,120.75400062452816,711.8400000000001,340.4861442796458,1.0,3.0,1676.0,54360.0,0.005415148964808685,0.05393824077453146,0.10246133258425423,-0.012320612027388314,0.013785220036091719,321.5045848486969,4.0,56036.0
16,864691135294520844,V1,L4,4P,True,670.1099413292117,304.14370912137485,822.5200000000002,239.4449269833154,15.0,19.0,124000.0,133272.0,-0.020533535186203964,0.0411011178059867,0.10273577079817738,-0.05280049596395282,-0.0107842762526208,157.6346376902513,34.0,257272.0
17,864691135398805281,V1,L2/3,23P,True,642.8053260859771,149.94518315429912,865.1200000000002,282.4160210071656,20.0,27.0,262364.0,287608.0,0.055168940968692105,0.08830563516547403,0.12144232936225596,0.027567714637399536,0.05235147022741423,201.97107083866214,47.0,549972.0
18,864691136275364365,AL,L4,4P,True,1326.7008516081369,342.18614052491,773.4800000000001,559.1909775814847,1.0,1.0,2792.0,1628.0,0.019940293244443148,0.06678946620907963,0.11363863917371611,0.012765307032342818,0.13483496075385734,137.29325856241246,2.0,4420.0
19,864691135518173395,V1,L4,4P,True,658.6851073782489,331.9256880500424,836.9600000000003,245.11000542255553,34.0,12.0,354344.0,48100.0,-0.025136950217712815,0.04541350946464189,0.11596396914699662,-0.05692285317640668,-0.004669536756021142,161.50529060496223,46.0,402444.0
20,864691136905758130,V1,L4,4P,True,708.944706691632,299.3822632017234,904.3200000000003,236.91483300223126,18.0,24.0,173536.0,192908.0,0.018784416996624934,0.05855864561417194,0.09833287423171894,-0.013031635308632016,0.03537338590134504,162.94689670287482,42.0,366444.0
21,864691135462420637,RL,L4,4P,True,1240.8617946211175,356.9690271029529,753.1600000000001,495.2025649837841,3.0,2.0,54496.0,6620.0,0.01627345726373387,0.05878076467946649,0.10128807209519912,0.007317889014745711,0.04982012657144351,204.80695711998638,5.0,61116.0
22,864691135566945559,V1,L2/3,23P,True,495.3257078904964,157.72910767315636,684.4800000000001,414.9791769341245,1.0,3.0,1868.0,5444.0,0.02613759669355182,0.06414183930178738,0.10214608191002295,0.010853828762856862,0.03363319360293472,328.7937571810864,4.0,7312.0
23,864691135274816017,V1,L4,4P,True,655.3203208728353,257.30045604522394,903.8800000000002,249.03264915921508,17.0,14.0,102700.0,60484.0,0.02748627843798746,0.060728836310398444,0.09397139418280942,-0.003875443346214646,0.034015362594672825,165.56067531614235,31.0,163184.0
24,864691135496333968,RL,L2/3,23P,True,1258.2489554710105,214.77532806681418,885.0800000000003,496.9815383189347,9.0,2.0,38920.0,25336.0,0.009564102040838662,0.0538169525399883,0.09806980303913793,-1.8734549814694746e-05,0.11046511596353892,162.5465081677232,11.0,64256.0
25,864691135867644805,V1,L5,5P-IT,True,695.1709415417387,370.90195448737984,864.8000000000003,247.74661271510863,6.0,15.0,83512.0,139252.0,0.037115952851388426,0.06655947645266581,0.09600300005394317,0.0063816150366601265,0.044620522493994404,171.8995739200392,21.0,222764.0
26,864691136904488114,V1,L5,5P-IT,True,851.5002802818195,392.6738025735906,869.1200000000002,274.5392033294603,16.0,26.0,142852.0,209680.0,0.00661168555005239,0.06356753155727905,0.12052337756450572,-0.018364895213330085,0.03089897289939593,239.4288901089164,42.0,352532.0
27,864691134966710559,V1,L4,4P,True,678.0088929311798,333.55205575272714,868.6000000000003,239.8495097558825,30.0,13.0,299784.0,152568.0,0.043355789162021895,0.08189562638183805,0.12043546360165419,0.01124106279056705,0.07100248497705348,159.33136037095514,43.0,452352.0
28,864691135209194617,V1,L2/3,23P,True,936.6887950744881,145.2047764967513,958.8800000000002,335.2779267284934,8.0,8.0,73756.0,101280.0,0.008901875592388944,0.053246026704477575,0.0975901778165662,-0.00932445553983738,0.007423109909941565,328.53631769993393,16.0,175036.0
29,864691135431089968,V1,L6,6P-IT,True,665.1715621658385,547.8406414189292,935.0800000000003,369.48103725239133,2.0,9.0,17316.0,32564.0,0.05586806197874259,0.09016731200913188,0.12446656203952118,0.037930430121841344,0.08356630557241282,301.6100302259949,11.0,49880.0
30,864691136389688695,V1,L1,23P,True,716.6844684649875,63.31853412906028,904.1200000000002,326.75803375825257,28.0,16.0,458780.0,177948.0,0.017829668752972913,0.05937311918570806,0.1009165696184432,-0.0034691805227545923,0.01922181063594299,267.35992493724,44.0,636728.0
31,864691135594817067,V1,L6,6P-CT,True,518.3268206499677,529.2756334432489,773.6000000000001,423.07857844889725,1.0,2.0,8088.0,7968.0,0.043100213957930046,0.0722396037519488,0.10137899354596755,0.02833915848160346,0.05346893689866447,338.54843629069836,3.0,16056.0
32,864691135585415544,RL,L5,5P-IT,True,1301.661325638651,413.23416120967977,933.2800000000002,556.303220168653,0.0,6.0,0.0,77316.0,0.02068966157287039,0.07919838598314279,0.13770711039341518,0.014513696049088956,0.08368452107839373,237.44475917269406,6.0,77316.0
33,864691135725842603,V1,L4,4P,True,679.6022840512328,287.43544129829706,834.2400000000002,234.19970879875424,38.0,17.0,391428.0,126328.0,0.03133965647192512,0.07071179669241844,0.11008393691291175,-0.0014732606109572946,0.0499369280708319,153.60315391649266,55.0,517756.0
34,864691136380264405,V1,L6,6P-CT,True,774.2328549688875,512.1541615683244,933.4400000000003,335.7021259652662,2.0,6.0,39572.0,74652.0,0.04684055260861859,0.07406509331648031,0.10128963402434202,0.02736937175261806,0.04243416508952088,286.30689524066315,8.0,114224.0
35,864691134949081852,V1,L4,4P,True,663.2192724748032,286.7088026765761,901.4800000000002,244.19407632722474,31.0,9.0,206092.0,19504.0,0.03649532497807183,0.06529641776241682,0.09409751054676184,0.004670808140553035,0.0442905519439287,161.44473465816753,40.0,225596.0
36,864691135122469671,AL,L2/3,23P,True,1324.0177617004615,152.55870418578917,733.3200000000002,575.111919602481,1.0,1.0,2608.0,18168.0,0.002678962125959534,0.05241558714375092,0.1021522121615423,-0.004115086385251456,0.09524401073874697,128.02361622049324,2.0,20776.0
37,864691135610877191,V1,L2/3,23P,True,1004.1720897507097,175.0077424505321,803.2000000000003,341.45122761548106,1.0,3.0,3952.0,17632.0,0.03196370133341079,0.05985929359576656,0.08775488585812233,0.014176679353593586,0.028996462332475752,356.03168239107225,4.0,21584.0
38,864691136927761226,V1,L5,5P-IT,True,675.7937751312326,370.6200504264663,905.1600000000002,257.85964610310856,17.0,17.0,137876.0,129808.0,0.010771444402119102,0.0671143594497026,0.1234572744972861,-0.019039128773715015,0.0402740878486053,179.2647639973821,34.0,267684.0
39,864691135562410721,V1,L6,6P-IT,True,699.8695275031789,560.2560125953669,896.4000000000002,364.88510298365026,9.0,12.0,70248.0,87684.0,-0.019652816122486046,0.039805077906573054,0.09926297193563215,-0.03754276300553366,-0.011940588044795095,302.9335384613032,21.0,157932.0
40,864691135101595680,V1,L4,4P,True,715.394224888125,349.0292977056404,760.3200000000002,260.5202043821703,39.0,8.0,352508.0,40968.0,-0.04317969686793521,0.03902574049136777,0.12123117785067075,-0.07160004391797069,-0.051139854881700954,191.95857557972693,47.0,393476.0
41,864691135772053835,RL,L2/3,23P,True,1176.1375701094435,115.72192116930144,874.1200000000002,462.5467456873886,1.0,2.0,16148.0,9908.0,-0.0012663337992323085,0.05325442803613142,0.10777518987149513,-0.011383544616713473,0.06228353946625577,202.84981630278367,3.0,26056.0
42,864691136373008520,V1,L2/3,23P,True,663.1217877470914,193.09608165679225,914.4800000000002,265.2885529148708,16.0,28.0,117100.0,241372.0,0.054692405146152624,0.07531917207350282,0.09594593900085302,0.02548682905125784,0.06605634850740806,186.1409915792171,44.0,358472.0
43,864691135731889337,V1,L4,4P,True,840.9989895972805,267.4420100049348,781.2800000000001,259.8716238373104,22.0,13.0,181280.0,125716.0,0.02043902442115691,0.06057795502230783,0.10071688562345876,-0.006295919425851567,0.027780863733218097,222.17136190083193,35.0,306996.0
44,864691134886569210,V1,L4,4P,True,852.2879874370495,349.89165679480095,804.5600000000003,265.35452301162496,4.0,8.0,18204.0,68048.0,0.0066521165238068326,0.08043052709908126,0.15420893767435567,-0.019322749973553304,0.041885087029381596,230.35967799896838,12.0,86252.0
45,864691135294480310,V1,L5,5P-IT,True,651.58932580631,429.9201484439,904.0000000000002,290.6677763705114,14.0,4.0,74800.0,29248.0,0.04047507589237469,0.08156531262870499,0.12265554936503532,0.014137286504234894,0.02553076645348484,211.41253138098418,18.0,104048.0
46,864691137021162094,V1,L6,6P-CT,True,699.525312001771,566.3933667230501,873.8400000000003,367.7710311396562,0.0,9.0,0.0,66588.0,0.006499512248501982,0.049042913755985476,0.09158631526346897,-0.011102779144786901,0.01097058727368098,306.1249252064931,9.0,66588.0
47,864691135724393131,AL,L5,5P-IT,True,1342.4591021729846,418.3453714239645,772.4000000000001,589.1393534784788,2.0,10.0,22164.0,169952.0,0.04697625194117366,0.07951821906129682,0.11206018618142,0.0412658239119611,0.08858771816845719,195.47523254495917,12.0,192116.0
48,864691135569902316,V1,L4,4P,True,949.8394182253581,293.0254310438876,965.7600000000002,314.1230774817821,11.0,4.0,52980.0,19744.0,0.030155081161471815,0.06348061611567188,0.09680615106987193,0.009887219030880122,0.03693606046443872,309.6561471270901,15.0,72724.0
49,864691135938629892,V1,L2/3,23P,True,1046.769671378233,205.07478047369798,774.7200000000001,361.4671796236249,8.0,4.0,55908.0,7896.0,0.02555496217231204,0.054046528792695774,0.08253809541307949,0.009321522717102283,0.029245891112694156,389.4996717492113,12.0,63804.0
50,864691135774368763,V1,L2/3,23P,True,699.0172241531936,174.20067234089046,809.9200000000003,260.6254364317681,20.0,32.0,141600.0,217992.0,0.043534273098472326,0.06817078095463279,0.09280728881079324,0.014443185496107454,0.03471588032512349,188.9284773018347,52.0,359592.0
51,864691135774053371,V1,L2/3,23P,True,654.0418676914608,174.24899562782335,896.0000000000002,270.7026405537971,12.0,22.0,47108.0,174952.0,0.03270478766795013,0.061362253175544564,0.09001971868313902,0.0039211988857756975,0.03809289280323683,190.57508577212215,34.0,222060.0
52,864691136524172689,V1,L2/3,23P,True,637.7503867696342,162.9300274162874,871.2000000000003,278.41237619048496,17.0,25.0,157068.0,218144.0,0.06549722200788935,0.09412121099527614,0.12274519998266295,0.037341003643292243,0.06331465903400241,196.32444070194433,42.0,375212.0
53,864691135342541509,V1,L4,4P,True,658.3886077706924,258.2113410612592,818.2000000000003,244.1955267029893,20.0,3.0,124228.0,28080.0,-0.0009611594484636572,0.06009476813902623,0.12115069572651613,-0.032864193124914,0.025256417666906544,160.9501385194342,23.0,152308.0
54,864691135988742147,V1,L4,4P,True,895.7646912306514,316.305094195401,871.4000000000002,270.9559781564523,17.0,8.0,160256.0,26084.0,0.03275459782088841,0.07126801141721978,0.10978142501355115,0.0076710230865012375,0.05670255509622784,248.5872317655758,25.0,186340.0
55,864691136274655166,V1,L4,23P,True,636.4786393457708,250.8979317592347,896.8000000000003,255.48114994285365,53.0,15.0,404044.0,56180.0,0.018174407500287062,0.05157600116675033,0.08497759483321358,-0.012730134358401365,0.010870463646266091,169.25407211960845,68.0,460224.0
56,864691136025184569,V1,L2/3,23P,True,1008.6440012286469,121.69060742122377,904.0800000000003,364.7641544296775,0.0,5.0,0.0,18152.0,-0.014319286679390178,0.04844014729097772,0.1111995812613456,-0.030001817918042267,-0.039555087707620534,379.82931915327634,5.0,18152.0
57,864691135878061395,V1,L5,5P-IT,True,683.3483091185949,459.0389319859714,904.3200000000003,298.8438512029044,4.0,18.0,65776.0,205168.0,0.04977462381026891,0.07730700536269505,0.10483938691512118,0.024898085313301017,0.05985497634314398,226.72665702124954,22.0,270944.0
58,864691135977045871,V1,L5,5P-IT,True,618.2719506688144,370.1489002224735,834.5600000000003,273.14377687103865,38.0,23.0,409800.0,182556.0,0.06267576196758474,0.09541827957690714,0.12816079718622955,0.03370357875506997,0.07453562628212135,185.63326350158798,61.0,592356.0
59,864691135939477508,V1,L2/3,23P,True,666.0176488739207,168.80804928827547,884.0800000000003,266.9174561811011,24.0,11.0,262920.0,144200.0,0.026390240605992987,0.059682169530476226,0.09297409845495948,-0.002684873205314734,0.02008701474604902,188.67739894776645,35.0,407120.0
60,864691136108938168,RL,L2/3,23P,True,1254.241171209347,223.86862940966878,781.0400000000001,494.736444726913,12.0,8.0,158116.0,91232.0,0.02967103027329524,0.07325346546793528,0.11683590066257533,0.01982694997864551,0.04806630660885575,176.30245023016752,20.0,249348.0
61,864691135375888840,V1,L4,4P,True,642.8078410742587,302.654507433057,856.6400000000002,245.61825057590934,44.0,6.0,317036.0,29396.0,0.040307095959594676,0.07355538070049315,0.10680366544139161,0.008231049982535632,0.061467163993226805,158.90510115075463,50.0,346432.0
62,864691135384344043,V1,L4,4P,True,663.6487759750638,281.79955520438,751.4000000000001,265.7652879052417,4.0,14.0,18212.0,101452.0,0.004936844670845016,0.05709689050074261,0.10925693633064021,-0.023776225559348732,0.0010653557988131851,187.46256643220923,18.0,119664.0
63,864691135955909640,V1,L5,5P-IT,True,641.7310912266416,367.83268514435593,903.9600000000003,267.227647305739,6.0,14.0,49668.0,139968.0,0.05503598329203552,0.08314760593472566,0.11125922857741584,0.02574497939496968,0.0734311581174527,183.12458409858897,20.0,189636.0
64,864691135940996774,V1,L4,4P,True,981.5720723639014,319.5078878280229,832.3200000000003,311.3418932076258,1.0,1.0,23116.0,20100.0,-0.030571936471900693,0.035342197199273395,0.10125633087044748,-0.05114518937421392,-0.025708071625908588,317.21171034628736,2.0,43216.0
65,864691136136778621,RL,L2/3,23P,True,1193.6328517519696,162.48066657856882,742.7200000000001,470.65353344614715,10.0,3.0,54432.0,5428.0,0.030276793750454112,0.07300994145157613,0.11574308915269815,0.02026450798883559,0.09632141083240892,207.41429718210424,13.0,59860.0
66,864691134966714655,V1,L4,4P,True,628.7909571743838,299.1153880881591,805.7600000000002,258.34329083250464,15.0,23.0,163340.0,172104.0,0.03887043190591867,0.07411707456249246,0.10936371721906622,0.008311623181536,0.05044777489947407,171.24509374303003,38.0,335444.0
67,864691136445557123,V1,L4,4P,True,562.3372168488213,330.242009182372,866.4800000000002,296.89348263751293,25.0,10.0,243776.0,76964.0,0.008456624965435802,0.042718142040622846,0.0769796591158099,-0.01855504669585626,0.014425361701624655,203.02262459482685,35.0,320740.0
68,864691135578360837,V1,L4,4P,True,782.559979641199,276.72002031712043,903.7600000000002,240.2246556129863,4.0,14.0,18124.0,99268.0,0.05556602418456667,0.09197098189810084,0.128375939611635,0.02554428935988536,0.07538713210866028,184.41897056207304,18.0,117392.0
69,864691135656674242,V1,L5,5P-IT,True,591.2860317862691,420.8538701373122,907.9600000000003,314.0351664453278,5.0,19.0,31320.0,151416.0,0.022825480366975265,0.05870320724568733,0.09458093412439941,-0.0017781068918456188,0.0253337907310584,227.03949315428383,24.0,182736.0
70,864691135809509917,V1,L6,6P-IT,True,645.268506143025,556.5069537230611,903.8800000000002,374.5309295433503,1.0,7.0,11020.0,70308.0,0.07628219867134099,0.10137955947451176,0.1264769202776825,0.0584617734256942,0.08810629939517257,303.6401546774309,8.0,81328.0
71,864691136309871706,RL,L2/3,23P,True,1198.686230404375,152.45093137790596,763.2400000000001,472.3510371828848,8.0,7.0,109256.0,69452.0,0.011415735548608407,0.05336034872761836,0.09530496190662832,0.0013846010762569132,0.08345541663423116,201.4453431236404,15.0,178708.0
72,864691135591726603,V1,L5,4P,True,684.6343916272823,370.17285922599814,898.2400000000002,254.07869080128265,1.0,6.0,5720.0,51080.0,0.00666539920433209,0.0531728699475914,0.0996803406908507,-0.02345937208457962,0.03211869708301129,176.8049174678884,7.0,56800.0
73,864691136579129876,V1,L2/3,4P,True,712.5207907484494,241.61812949560297,846.2800000000002,232.47387947294843,29.0,6.0,226216.0,32624.0,0.04484856596676155,0.08206128059847806,0.11927399523019455,0.012433631224884745,0.03756682522070194,159.12286398982278,35.0,258840.0
74,864691135757083346,V1,L4,4P,True,697.5479938658567,347.40371033492437,834.6800000000003,240.5450615609787,22.0,23.0,176620.0,114804.0,0.04007317462425244,0.07875559174781392,0.11743800887137543,0.008505587444839403,0.06213964311718115,164.4944668299575,45.0,291424.0
75,864691135358995288,AL,L2/3,23P,True,1328.069967589214,195.82853195798123,717.2800000000001,573.2022907783515,0.0,4.0,0.0,99912.0,0.002813992960836936,0.05772961970852701,0.11264524645621708,-0.004150072177377735,0.10870694841674461,111.79254699187162,4.0,99912.0
76,864691135728030015,V1,L4,4P,True,709.8583374567135,327.8582511007429,812.2400000000002,238.47997012249147,17.0,8.0,128868.0,32432.0,-0.006801260408488592,0.055667850677495925,0.11813696176348046,-0.03831877500802634,0.009542138056814232,165.19903060137474,25.0,161300.0
77,864691136137794941,V1,L5,5P-ET,True,699.212136313484,498.00985174328133,871.7200000000003,316.9059061587408,5.0,51.0,10356.0,702188.0,0.04602545765835509,0.07603585412381753,0.10604625058927997,0.02334963695570693,0.056716446776283416,249.9878069476985,56.0,712544.0
78,864691135755197133,RL,L5,5P-IT,True,1179.233458789082,374.06281072665223,934.8400000000003,451.9243947633998,2.0,10.0,2568.0,91728.0,0.04690604457960094,0.09585529575555002,0.14480454693149908,0.03643077415887114,0.05676140884329722,182.9037106650686,12.0,94296.0
79,864691135465932357,V1,L2/3,23P,True,666.0744979906334,192.39074328573753,810.5200000000002,259.9594102501095,22.0,17.0,246908.0,269952.0,0.0423641711101082,0.07884893103302919,0.11533369095595015,0.012581717266111752,0.0700267353699521,181.08477280941148,39.0,516860.0
80,864691134941412707,V1,L2/3,23P,True,703.8053170035387,173.07770891473857,872.1200000000002,255.79484023562452,15.0,7.0,113324.0,71184.0,-0.023552582708590293,0.037863788160931194,0.09928015903045266,-0.05329809081996286,-0.027191404313811278,183.9924561586376,22.0,184508.0
81,864691135739689073,V1,L2/3,23P,True,678.369812634141,112.06870094481373,894.4800000000002,297.1884741680517,13.0,16.0,124956.0,98400.0,0.0717982453693091,0.09245481510676556,0.11311138484422205,0.04654623542261089,0.08795324741103638,225.96146219773397,29.0,223356.0
82,864691136314473021,V1,L5,5P-IT,True,743.694030174337,414.01507877167427,780.8000000000002,276.2703142995744,16.0,10.0,194452.0,48272.0,0.039335052425802076,0.08788670713494066,0.13643836184407926,0.013221290493368527,0.0059085313168235785,215.3731231908457,26.0,242724.0
83,864691135774177531,V1,L2/3,23P,True,887.5171593656706,117.58207333939622,690.4400000000002,352.7023804857002,0.0,4.0,0.0,46768.0,0.008062661108183017,0.07541170205055155,0.14276074299292008,-0.008457454771724231,0.037464491652162556,335.5747957847328,4.0,46768.0
84,864691135519105162,V1,L4,4P,True,533.0882611057918,267.29325570827774,735.1600000000001,341.84928483134087,0.0,5.0,0.0,20228.0,-0.022787733225781273,0.03540538573407408,0.09359850469392945,-0.04486440377876576,-0.007461200460533767,250.8302154624642,5.0,20228.0
85,864691135495698832,V1,L2/3,23P,True,825.7563108635146,186.12408375850862,774.2800000000001,275.22880197905965,4.0,7.0,111592.0,143588.0,0.048008396894572994,0.07096443937029895,0.09392048184602488,0.022864302795622796,0.05016464888020004,235.67639550337344,11.0,255180.0
86,864691135134695328,RL,L2/3,23P,True,1255.6769920400898,197.91099279648688,865.0400000000003,495.8813215767176,15.0,12.0,204560.0,128052.0,0.041119335883019754,0.09110741855121582,0.1410955012194119,0.0314137501117259,0.1563968964616464,164.01009142013967,27.0,332612.0
87,864691135868916246,V1,L4,4P,True,586.5662325703502,329.4065277846696,973.0400000000003,312.32628819301095,4.0,9.0,26092.0,48848.0,0.022183093695041248,0.06863461900950932,0.11508614432397739,-0.0023981971439537625,0.0490348472121063,224.9572624298724,13.0,74940.0
88,864691135480916422,V1,L4,4P,True,682.073786244631,300.30783023384544,903.3200000000003,240.50545053845065,18.0,14.0,156968.0,117516.0,0.03757069868528247,0.07177871374506298,0.10598672880484347,0.005661106521250702,0.047301290664617066,161.11965241536606,32.0,274484.0
89,864691136372039560,V1,L5,5P-IT,True,681.0279324455582,490.70118225494673,865.5600000000003,314.50491925314446,12.0,5.0,180104.0,12688.0,0.015053834889633026,0.07250923789297781,0.1299646408963226,-0.008191404010885495,0.04781845827609882,243.73792471785262,17.0,192792.0
90,864691135324705692,V1,L5,5P-IT,True,681.2449814301293,373.66674796427174,835.1600000000002,251.89938496714484,25.0,2.0,217764.0,9028.0,0.029051038245638927,0.07133651330160079,0.11362198835756265,-0.00140081140301124,0.058987538931876915,173.79842600895935,27.0,226792.0
91,864691135927381774,V1,L4,4P,True,481.44604835360946,309.0311656470652,803.8000000000003,361.94324896155604,6.0,4.0,43568.0,23628.0,0.0013381150682504467,0.0453952870918343,0.08945245911541816,-0.01959227391475633,0.018700284545946348,264.88332067151083,10.0,67196.0
92,864691135751110185,V1,L4,4P,True,662.4813622742564,292.9402019204,847.0800000000003,237.87448712313767,26.0,23.0,227324.0,110420.0,0.014766744280756364,0.05047691428593106,0.08618708429110576,-0.017936104329795487,0.012895433462055631,154.08314857215248,49.0,337744.0
93,864691136675875719,V1,L4,4P,True,526.9786811720337,256.35113264951895,749.8000000000002,341.17434113377936,25.0,6.0,169204.0,102024.0,-0.006299540412185891,0.04880031459532938,0.10390016960284465,-0.028598678374000257,-0.021954906732481634,248.999304076818,31.0,271228.0
94,864691136066631832,RL,L4,4P,True,1250.53896142948,263.24781023845014,775.2400000000001,490.1783268722911,11.0,0.0,99660.0,0.0,-0.017190644116631723,0.042703993604185406,0.10259863132500256,-0.02711710698888314,0.033804992546595025,175.49681626096898,11.0,99660.0
95,864691135271081125,V1,L2/3,23P,True,921.8207653156575,141.8481694165988,965.1600000000003,333.0370926323545,7.0,7.0,75172.0,40832.0,0.008424619248511294,0.04713544168943639,0.0858462641303615,-0.010041969371792052,0.00626750024072838,322.0667718718573,14.0,116004.0
96,864691136010651052,V1,L2/3,23P,True,696.7658058027978,101.53593704644724,870.2000000000003,297.45650313241686,14.0,12.0,148552.0,95244.0,0.04490176929319936,0.07671392949945982,0.10852608970572031,0.019976391476510955,0.043164836149341426,230.16966435551132,26.0,243796.0
97,864691136437631902,V1,L5,5P-ET,True,643.0300065048364,427.88641564546697,884.3600000000002,288.9203046435292,2.0,59.0,30736.0,1085860.0,0.06397428655749915,0.0938974133631537,0.12382054016880822,0.03725570897228968,0.06197954295652366,207.80352164195892,61.0,1116596.0
98,864691136312150874,V1,L2/3,23P,True,652.8994824355323,143.24745998961612,897.0800000000003,286.5974578122934,47.0,4.0,485460.0,35224.0,-0.005797678213196002,0.046931213366402096,0.0996601049460002,-0.03270059456649088,-0.0021659376007727733,208.6787487055436,51.0,520684.0
99,864691136725343485,V1,L4,4P,True,914.5357089530728,346.27915654378063,777.6800000000002,292.8517087570503,3.0,4.0,11336.0,27116.0,0.04897403369872619,0.08826613435405557,0.12755823500938493,0.026493983859421005,0.07741863684057036,277.384955499342,7.0,38452.0
100,864691135698922005,V1,L2/3,4P,True,896.3098578546708,249.85976405586413,877.2400000000002,271.8662292775459,4.0,1.0,11536.0,34252.0,0.025614496456150812,0.06550530284390685,0.10539610923166287,0.0006024624171519774,0.0391652112081937,250.26133902834064,5.0,45788.0
101,864691136390183696,V1,L4,4P,True,747.7537210990815,343.38011679394293,712.6000000000001,281.7681063642003,1.0,3.0,49652.0,8420.0,0.031019884192255442,0.06963847105223364,0.10825705791221185,0.0058656316426431935,0.02786312231175069,223.65831582109956,4.0,58072.0
