cohort,functional_metric,structural_metric,controls,test_role,rho,p_value,n_neurons,rank_variance_approx,q_bh_all_tests
all_906,mean_fcorr_signed,in_strength,distance,exploratory,0.13259269503105892,6.24925384876049e-05,906,0.017580822775599397,0.0009373880773140735
all_906,mean_fcorr_signed,in_strength,distance+area,exploratory,0.11693022140985807,0.00042057296677322205,906,0.01367267667895843,0.0034410515463263623
all_906,mean_fcorr_signed,in_strength,distance+area+cell_type,exploratory,0.0644066323233132,0.05262750230410329,906,0.004148214287230453,0.11750440771845733
all_906,mean_fcorr_signed,in_strength,distance+area+layer,exploratory,0.05983970025948848,0.07181456563667757,906,0.003580789727145426,0.14362913127335514
all_906,mean_fcorr_signed,out_strength,raw,exploratory,0.12495774668436863,0.0001627227501685727,906,0.015614438456434837,0.001830630939396443
all_906,mean_fcorr_signed,out_strength,distance,exploratory,0.06653440955989648,0.04527089264387847,906,0.004426827655484044,0.11629441556122148
all_906,mean_fcorr_signed,out_strength,distance+area,exploratory,0.06646229628458362,0.04550524528951428,906,0.004417236827419778,0.11629441556122148
all_906,mean_fcorr_signed,out_strength,distance+area+cell_type,exploratory,0.05481472392971745,0.09917303187961798,906,0.003004653959491139,0.17851145738331237
all_906,mean_fcorr_signed,out_strength,distance+area+layer,exploratory,0.0645916898671799,0.051950361190822976,906,0.004172086399897951,0.11750440771845733
all_906,mean_fcorr_pos_clipped,total_degree,raw,exploratory,0.07969930196810576,0.016420099139610015,906,0.006351978734203307,0.05911235690259606
all_906,mean_fcorr_pos_clipped,total_degree,distance,exploratory,0.06615427621755056,0.046517766224488596,906,0.004376388261867975,0.11629441556122148
all_906,mean_fcorr_pos_clipped,total_degree,distance+area,exploratory,0.059903887628005796,0.07150978870415381,906,0.0035884757529487457,0.14362913127335514
all_906,mean_fcorr_pos_clipped,total_degree,distance+area+cell_type,exploratory,0.02849169971371696,0.3916740814739691,906,0.0008117769525766191,0.4830336268957126
all_906,mean_fcorr_pos_clipped,total_degree,distance+area+layer,exploratory,0.03007154746411533,0.3659405586752929,906,0.0009042979668865412,0.47049500401109084
all_906,mean_fcorr_pos_clipped,total_strength,raw,exploratory,0.08882763124984101,0.0074663371982623935,906,0.007890348073457731,0.03359851739218077
all_906,mean_fcorr_pos_clipped,total_strength,distance,exploratory,0.07652087558499375,0.021252757754098822,906,0.005855444400294093,0.0659568344092722
all_906,mean_fcorr_pos_clipped,total_strength,distance+area,exploratory,0.07168583774995067,0.030964458742393813,906,0.005138859333912253,0.08989681570372397
all_906,mean_fcorr_pos_clipped,total_strength,distance+area+cell_type,exploratory,0.042429540983387214,0.2019789952015386,906,0.0018002659480609352,0.3189142029497978
