matrix_index,nucleus_id,pt_root_id,classification_system,cell_type,layer,brain_area,strategy_axon,strategy_dendrite,pt_position_x,pt_position_y,pt_position_z,session,scan_idx,unit_id,cc_abs
78,262699,864691135990004992,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_clean,645.798152070368,314.73710815254395,813.2000000000003,9.0,3.0,7811.0,0.685518
79,227896,864691136120159768,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,536.8287076788741,297.23720286682567,794.3200000000003,9.0,3.0,2504.0,0.486925
80,262810,864691136239980604,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_clean,640.1484799360874,309.55297960715365,848.8400000000003,9.0,3.0,8403.0,0.362434
81,228126,864691135430275120,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,580.128939750283,303.85223896363766,826.1600000000002,9.0,3.0,5428.0,0.598485
82,262893,864691135124603687,excitatory_neuron,4P,L4,V1,axon_fully_extended,dendrite_extended,629.6684322070811,301.5692025813497,888.0400000000003,9.0,3.0,4949.0,0.426234
83,299060,864691135357351375,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_clean,685.8649835699965,307.6421642077072,875.4000000000002,9.0,3.0,5667.0,0.574806
84,262691,864691135562004193,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_clean,638.5744814715003,308.45160554105354,821.2000000000003,9.0,3.0,4914.0,0.448397
85,363826,864691135942924148,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,804.5163637578535,301.12651938031945,946.7600000000002,9.0,3.0,5379.0,0.484249
86,296914,864691135499707667,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,701.4571374890104,283.62973542247636,911.3600000000002,9.0,3.0,2665.0,0.647873
87,330597,864691136523335057,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,782.6239673893854,297.2838487925791,874.1600000000002,9.0,3.0,5641.0,0.358631
88,296987,864691136010639022,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,683.7655867156856,288.31363884108623,940.3200000000003,9.0,3.0,2268.0,0.5915
89,194797,864691135477469352,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,485.80943533926114,314.2312477630943,825.3200000000003,9.0,3.0,8266.0,0.718867
90,296546,864691136524297617,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_clean,702.2757693403511,297.7708952720775,832.4400000000003,9.0,3.0,2031.0,0.68458
91,363820,864691135386963541,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,800.7444147966332,304.58694031337797,936.0800000000003,9.0,3.0,7710.0,0.503278
92,331122,864691135764015926,excitatory_neuron,4P,L4,V1,axon_partially_extended,dendrite_extended,775.1501264052503,297.52939500791075,999.7200000000003,9.0,3.0,5489.0,0.610012
