pre_neuron_id,post_neuron_id,synapse_size
864691136373008520,864691135750958889,2476.0
864691136373008520,864691136228250961,7888.0
864691136373008520,864691136905758130,12596.0
864691136373008520,864691135102274592,17768.0
864691136373008520,864691135135019168,3724.0
864691136373008520,864691135272069285,1728.0
864691136373008520,864691135277186789,6252.0
864691136373008520,864691135688186080,6860.0
864691136373008520,864691135689417440,4044.0
864691136373008520,864691135927647956,1336.0
864691136373008520,864691136452447743,1628.0
864691136373008520,864691136453419007,1172.0
864691135731889337,864691134966324767,1208.0
864691135731889337,864691135448698196,20264.0
864691135731889337,864691135469753426,1500.0
864691135731889337,864691135518989962,3536.0
864691135731889337,864691135577644574,2552.0
864691135731889337,864691135640398651,3724.0
864691135731889337,864691135742102635,6028.0
864691135731889337,864691135850033758,10172.0
864691135731889337,864691136086630764,6612.0
864691135731889337,864691136195798504,4568.0
864691135731889337,864691136968542926,6892.0
864691135731889337,864691135014355094,10348.0
864691135731889337,864691135325487004,1624.0
864691135731889337,864691135375484489,2260.0
864691135731889337,864691135787537348,2396.0
864691135731889337,864691135811335116,2232.0
864691135731889337,864691135993150913,2364.0
864691135731889337,864691136298125851,17528.0
864691135731889337,864691136311059034,3728.0
864691135731889337,864691136311381338,19236.0
864691135731889337,864691136603811281,51520.0
864691135731889337,864691137056393846,988.0
864691134886569210,864691135593133067,1932.0
864691134886569210,864691136904488114,7988.0
864691134886569210,864691135849426270,2684.0
864691134886569210,864691136524297617,5600.0
864691135294480310,864691135339088102,2996.0
864691135294480310,864691135396794101,6888.0
864691135294480310,864691135409859785,1852.0
864691135294480310,864691135480311494,1628.0
864691135294480310,864691135994226881,10772.0
864691135294480310,864691136228250961,2188.0
864691135294480310,864691136330101226,788.0
864691135294480310,864691135386963541,9520.0
864691135294480310,864691135499283987,7832.0
864691135294480310,864691135584629613,13252.0
864691135294480310,864691135725748139,8916.0
864691135294480310,864691135817195343,6856.0
864691135294480310,864691135817419343,192.0
864691135294480310,864691136523335057,1120.0
864691135724393131,864691135585046648,9944.0
864691135724393131,864691136275031565,12220.0
864691135569902316,864691135741659499,1204.0
864691135569902316,864691135772987899,2296.0
864691135569902316,864691136013367715,20704.0
864691135569902316,864691136420195223,15804.0
864691135569902316,864691136578982164,2332.0
864691135569902316,864691135346571423,2208.0
864691135569902316,864691135417045946,940.0
864691135569902316,864691135583352941,244.0
864691135569902316,864691136058745048,1196.0
864691135569902316,864691136125433894,3640.0
864691135569902316,864691136603221201,2412.0
864691135938629892,864691135740865684,4516.0
864691135938629892,864691135741659499,14720.0
864691135938629892,864691135772987899,1224.0
864691135938629892,864691134884807418,8648.0
864691135938629892,864691135339103718,5492.0
864691135938629892,864691135473383730,18144.0
864691135938629892,864691135749141801,1852.0
864691135938629892,864691136391623039,1312.0
864691135774368763,864691135214986368,5788.0
864691135774368763,864691135277309669,288.0
864691135774368763,864691135360096071,3524.0
864691135774368763,864691135585266808,29076.0
864691135774368763,864691135717271834,528.0
864691135774368763,864691135782702387,468.0
864691135774368763,864691136034011579,1748.0
864691135774368763,864691135015652246,3260.0
864691135774368763,864691135258642863,1752.0
864691135774368763,864691135408808649,752.0
864691135774368763,864691135448303762,2116.0
864691135774368763,864691135655390658,808.0
864691135774368763,864691135688186080,21388.0
864691135774368763,864691135810905036,1232.0
864691135774368763,864691136026254649,5136.0
864691135774368763,864691136043380566,2368.0
864691135774368763,864691136419797655,28044.0
864691135774368763,864691136438469534,2492.0
864691135774368763,864691136523288465,10136.0
864691135774368763,864691136813937267,20696.0
864691135774053371,864691135739689073,2112.0
864691135774053371,864691135810473245,4952.0
864691135774053371,864691136137794941,1800.0
864691135774053371,864691134887026938,3432.0
864691135774053371,864691135257669039,204.0
864691135774053371,864691135496440208,6728.0
864691135774053371,864691135662408944,324.0
864691135774053371,864691136010639022,848.0
864691135774053371,864691136125457446,3220.0
864691135774053371,864691136438469534,1048.0
864691135774053371,864691136453419007,18352.0
864691135774053371,864691136905458866,4088.0
864691136524172689,864691135362104647,29248.0
864691136524172689,864691135540272498,4564.0
864691136524172689,864691135546339880,2012.0
864691136524172689,864691135567047191,7592.0
864691136524172689,864691135750307881,3680.0
864691136524172689,864691136111251896,3676.0
864691136524172689,864691136228250961,75900.0
864691136524172689,864691134919972106,2900.0
864691136524172689,864691135258642863,1156.0
864691136524172689,864691135277186789,1320.0
864691136524172689,864691135375351369,3012.0
864691136524172689,864691135496440208,8620.0
864691136524172689,864691135655390658,2208.0
864691136524172689,864691135742756203,1980.0
864691136524172689,864691135774389755,1880.0
864691136524172689,864691136419797655,4664.0
864691136524172689,864691136438717086,2656.0
864691135342541509,864691135360482392,13072.0
864691135342541509,864691135571192966,268.0
864691135342541509,864691135572346349,20160.0
864691135342541509,864691135583223405,6548.0
864691135342541509,864691135585266808,4324.0
864691135342541509,864691135779049056,7588.0
864691135342541509,864691135867644805,3880.0
864691135342541509,864691136111559352,332.0
864691135342541509,864691136195798504,2700.0
864691135342541509,864691136238090767,3384.0
864691135342541509,864691136381243349,22672.0
864691135342541509,864691136619693275,2800.0
864691135342541509,864691135119709149,2388.0
864691135342541509,864691135258642863,1632.0
864691135342541509,864691135469422674,2136.0
864691135342541509,864691135810905036,2316.0
864691135342541509,864691136058745048,4360.0
864691135342541509,864691136125457446,1652.0
864691135342541509,864691136674495623,9600.0
864691135342541509,864691136905560754,12416.0
864691135988742147,864691135102151968,14948.0
864691135988742147,864691135274816017,2556.0
864691135988742147,864691135430346544,3700.0
864691135988742147,864691135586724220,12164.0
864691135988742147,864691135594721579,17968.0
864691135988742147,864691135750307881,4708.0
864691135988742147,864691135765013302,17392.0
864691135988742147,864691135868957462,1836.0
864691135988742147,864691136274655166,4648.0
864691135988742147,864691136991202453,19904.0
864691135988742147,864691135405733870,768.0
864691135988742147,864691135591041291,13192.0
864691135988742147,864691135694246079,12664.0
864691135988742147,864691135773209163,4104.0
864691135988742147,864691136058745048,3684.0
864691135988742147,864691136484364844,24124.0
864691135988742147,864691136674744199,1896.0
864691136274655166,864691135015605910,420.0
864691136274655166,864691135164887853,196.0
864691136274655166,864691135325413788,2056.0
864691136274655166,864691135466236229,1636.0
864691136274655166,864691135496381840,2716.0
864691136274655166,864691135546339880,8800.0
864691136274655166,864691135562474977,1044.0
864691136274655166,864691135562842337,30556.0
864691136274655166,864691135570301676,388.0
864691136274655166,864691135571192966,6068.0
864691136274655166,864691135640297787,3148.0
864691136274655166,864691135750958889,29988.0
864691136274655166,864691135774294603,24332.0
864691136274655166,864691135779049056,3192.0
864691136274655166,864691135782241616,17564.0
864691136274655166,864691135801463650,1872.0
864691136274655166,864691135839932307,3856.0
864691136274655166,864691135877825107,6468.0
864691136274655166,864691136330101226,860.0
864691136274655166,864691136391042167,28276.0
864691136274655166,864691136488414994,8356.0
