pre_pt_root_id,post_pt_root_id,synapse_count,synapse_size_sum
864691135134921888,864691136578290708,1,3836.0
864691135134921888,864691136966611918,1,804.0
864691135134921888,864691136991202453,1,23428.0
864691135137137433,864691135013932438,1,2960.0
864691135137137433,864691135489161786,1,8860.0
864691135137137433,864691135489512250,1,11464.0
864691135137137433,864691135640227131,1,5896.0
864691135137137433,864691135655141058,1,2056.0
864691135137137433,864691135777857213,1,1064.0
864691135137137433,864691135927185876,1,1836.0
864691135137137433,864691135940945153,1,63272.0
864691135137137433,864691136310697050,1,3252.0
864691135155548260,864691135847940446,1,584.0
864691135156270948,864691136595448738,1,264.0
864691135157942116,864691134942614115,1,3292.0
864691135157942116,864691135163326765,1,5552.0
864691135157942116,864691135463802174,1,1532.0
864691135157942116,864691135539306098,1,2868.0
864691135157942116,864691135618911887,1,22500.0
864691135157942116,864691135732210873,1,6244.0
864691135157942116,864691135738047620,1,2992.0
864691135157942116,864691135742895467,1,1184.0
864691135157942116,864691135778624685,1,34056.0
864691135157942116,864691135817552463,1,6240.0
864691135157942116,864691135943147380,1,2904.0
864691135157942116,864691135990911488,1,8940.0
864691135157942116,864691136195798504,1,17388.0
864691135157942116,864691136274035469,1,9204.0
864691135157942116,864691136314491965,1,2496.0
864691135162908461,864691135183025410,1,1052.0
864691135162908461,864691135355708623,1,1324.0
864691135162908461,864691135469253202,1,1504.0
864691135162908461,864691135777319341,1,2792.0
864691135162908461,864691136084973676,1,2364.0
864691135162908461,864691136237704463,1,3020.0
864691135163103533,864691135346786719,1,260.0
864691135163326765,864691135388882561,1,300.0
864691135163326765,864691135538730610,1,400.0
864691135163326765,864691136024757817,1,1224.0
864691135163326765,864691136274035469,1,5952.0
864691135182359554,864691135618877839,1,19712.0
864691135182359554,864691135926846478,1,3412.0
864691135182658818,864691134941328739,2,18964.0
864691135182658818,864691134964790303,3,22928.0
864691135182658818,864691135013932438,3,15096.0
864691135182658818,864691135082723063,2,10876.0
864691135182658818,864691135114035865,1,1412.0
864691135182658818,864691135278563489,1,5000.0
864691135182658818,864691135293480972,1,3956.0
864691135182658818,864691135293594892,4,19772.0
864691135182658818,864691135462783806,3,20600.0
864691135182658818,864691135489161786,5,16428.0
864691135182658818,864691135492129887,1,1304.0
864691135182658818,864691135492438879,2,8428.0
864691135182658818,864691135502462389,2,2784.0
864691135182658818,864691135517475539,1,6672.0
864691135182658818,864691135565539863,2,16144.0
864691135182658818,864691135719641393,1,4084.0
864691135182658818,864691135720638769,1,10892.0
864691135182658818,864691135740166548,5,17484.0
864691135182658818,864691135776924333,2,7740.0
864691135182658818,864691135777517245,1,2656.0
864691135182658818,864691135778981216,1,224.0
864691135182658818,864691135781943632,1,1940.0
864691135182658818,864691135884302192,2,8428.0
864691135182658818,864691135926721806,1,5084.0
864691135182658818,864691135940945153,2,3156.0
864691135182658818,864691136009511596,5,28136.0
864691135182658818,864691136011431075,3,13072.0
864691135182658818,864691136041512790,2,8384.0
864691135182658818,864691136065296792,3,6368.0
864691135182658818,864691136134774923,1,2352.0
864691135182658818,864691136287519939,2,10076.0
864691135182658818,864691136389302135,3,6860.0
864691135182658818,864691136391508095,1,2260.0
864691135182658818,864691136419226519,6,26012.0
864691135182658818,864691137198306113,1,12020.0
864691135183025410,864691134989053818,1,1080.0
864691135183025410,864691135383815147,1,9816.0
864691135183025410,864691135755887058,1,4324.0
864691135183025410,864691135972219338,1,5884.0
864691135183025410,864691136089194039,1,5828.0
864691135183367170,864691135719185713,1,676.0
864691135195558698,864691134948870652,1,8592.0
864691135195558698,864691135294539446,1,2540.0
864691135195558698,864691135585436284,1,25012.0
864691135195558698,864691135755751885,1,6332.0
864691135195558698,864691135800569186,1,24552.0
864691135195558698,864691135865279358,1,184.0
864691135195558698,864691136362342626,1,6212.0
864691135195558698,864691136619099867,1,14168.0
864691135209039737,864691135304484263,1,1916.0
864691135210016121,864691135738047620,1,5008.0
864691135210016121,864691135839929235,1,25060.0
864691135210016121,864691136287554499,2,15796.0
864691135210671808,864691135359010904,1,4772.0
864691135210671808,864691135447174740,1,5532.0
864691135210671808,864691135654715586,1,4068.0
864691135210671808,864691135782615632,2,27692.0
864691135210671808,864691135848445022,1,1832.0
864691135210671808,864691135941847553,1,21344.0
864691135210671808,864691136009511596,3,66548.0
864691135210671808,864691136108938168,1,4680.0
864691135210671808,864691136119594520,1,520.0
864691135210671808,864691136195242454,1,11724.0
864691135210855872,864691135947597409,1,3352.0
864691135211318976,864691135118814429,1,1368.0
864691135211318976,864691135307460422,1,4848.0
864691135211318976,864691135616851817,1,1540.0
864691135211318976,864691135926846478,3,18340.0
864691135213268608,864691135761521462,1,320.0
864691135213413248,864691136091886516,1,472.0
864691135213462656,864691135466346565,1,2608.0
864691135213462656,864691135572282917,1,1504.0
864691135213462656,864691135585101944,2,3916.0
864691135213462656,864691136287554499,2,43396.0
864691135213462656,864691136310616410,1,5052.0
864691135213714560,864691135658414210,1,3284.0
864691135213714560,864691136310693466,2,14016.0
864691135213717120,864691135777319341,1,1324.0
864691135213717120,864691135992497089,1,14628.0
864691135213876096,864691135618877839,1,2312.0
864691135213876096,864691136423611951,1,1628.0
864691135213932160,864691135295295500,1,7972.0
864691135214043704,864691135307460422,1,2520.0
864691135214043704,864691136423247407,1,7460.0
864691135214931072,864691134918409738,1,5408.0
864691135214931072,864691135429097264,1,17568.0
864691135214931072,864691135463221661,1,19536.0
864691135214931072,864691135470787666,1,532.0
864691135214931072,864691135610249479,1,3844.0
864691135214931072,864691135688186080,1,6264.0
864691135214931072,864691135699607829,1,4600.0
864691135214931072,864691135762624310,2,24836.0
864691135214931072,864691135809355293,1,8020.0
864691135214931072,864691135837796499,1,1460.0
864691135214931072,864691135848916574,1,1152.0
864691135214931072,864691135885433200,1,2860.0
864691135214931072,864691135885652848,1,3760.0
864691135214931072,864691135890229129,2,13880.0
864691135214931072,864691136239108156,1,21556.0
864691135215236920,864691135014728182,1,3168.0
864691135215236920,864691135278726305,1,4712.0
864691135215236920,864691135719688241,1,17248.0
864691135215236920,864691135884841328,1,5436.0
864691135215236920,864691136009349804,1,18220.0
864691135215236920,864691136975076636,1,21420.0
864691135233964121,864691135777451360,1,2548.0
864691135233964121,864691136040495614,2,7600.0
864691135233964121,864691136578257428,1,2480.0
864691135234068313,864691135477298240,1,1948.0
864691135234068313,864691135490213946,1,17628.0
864691135234068313,864691135496333968,2,33536.0
864691135234068313,864691135684334578,1,23748.0
864691135234068313,864691135738382212,1,2364.0
864691135256546479,864691135118527709,1,696.0
864691135256546479,864691135489182266,1,3404.0
864691135256546479,864691135865629660,1,30244.0
864691135256546479,864691135969919589,1,3456.0
864691135257404079,864691135341401285,1,5980.0
864691135257404079,864691135538399602,1,3020.0
864691135257404079,864691135741421931,1,8812.0
864691135257404079,864691135940062209,1,284.0
864691135257404079,864691136272926654,1,2624.0
