pre_pt_root_id,post_pt_root_id,size
864691134941412707,864691135562001633,9668.0
864691134941412707,864691135573296677,216.0
864691134941412707,864691135584019053,24552.0
864691134941412707,864691135695146943,18304.0
864691134941412707,864691135779780797,12564.0
864691134941412707,864691135868210454,2500.0
864691134941412707,864691135869457430,16416.0
864691134941412707,864691136011485614,5228.0
864691134941412707,864691136380400341,7300.0
864691134941412707,864691136391042167,536.0
864691134941495395,864691134966621471,4352.0
864691134941495395,864691135015605910,1864.0
864691134941495395,864691135084038647,2284.0
864691134941495395,864691135405480430,7088.0
864691134941495395,864691135441799752,11368.0
864691134941495395,864691135448698196,2992.0
864691134941495395,864691135456535658,4024.0
864691134941495395,864691135478434216,6160.0
864691134941495395,864691135616235979,3516.0
864691134941495395,864691135731679929,1204.0
864691134941495395,864691135779780797,2200.0
864691134941495395,864691135783308368,9632.0
864691134941495395,864691136138622333,7844.0
864691134941495395,864691136312057178,6472.0
864691134941495395,864691136314120765,3144.0
864691134941495395,864691136381324501,2940.0
864691134941495395,864691136453186559,17028.0
864691134941495395,864691136814627955,6776.0
864691134941824611,864691134966025503,1068.0
864691134941824611,864691135060094107,4888.0
864691134941824611,864691135309628742,2468.0
864691134941824611,864691135396794101,4288.0
864691134941824611,864691135546339880,1688.0
864691134941824611,864691135592837899,4672.0
864691134941824611,864691135595810859,17208.0
864691134941824611,864691135662774512,3524.0
864691134941824611,864691135778542509,4408.0
864691134941824611,864691135809375005,24112.0
864691134941824611,864691135858282030,1948.0
864691134941824611,864691135874782350,14256.0
864691134941824611,864691135988557315,1568.0
864691134941824611,864691135994077377,11036.0
864691134941824611,864691136067382936,2112.0
864691134941824611,864691136108462553,7556.0
864691134941824611,864691136312057178,4676.0
864691134941824611,864691136390828919,16336.0
864691134941824611,864691136596060322,180.0
864691134941824611,864691136619693275,1744.0
864691134941824611,864691136927187786,9236.0
864691134941824611,864691136954050527,3616.0
864691134942169955,864691135060651419,60052.0
864691134942169955,864691135196475434,17484.0
864691134942169955,864691135214643256,8460.0
864691134942169955,864691135294442678,15856.0
864691134942169955,864691135342823877,204.0
864691134942169955,864691135405480430,12340.0
864691134942169955,864691135417307322,4888.0
864691134942169955,864691135456535658,10380.0
864691134942169955,864691135503448898,2572.0
864691134942169955,864691135510191369,7352.0
864691134942169955,864691135562001633,22516.0
864691134942169955,864691135562048225,13552.0
864691134942169955,864691135571192966,14448.0
864691134942169955,864691135619541903,752.0
864691134942169955,864691135756844242,10052.0
864691134942169955,864691135778116013,24792.0
864691134942169955,864691135779629245,2456.0
864691134942169955,864691135869457430,3764.0
864691134942169955,864691135885911920,2668.0
864691134942169955,864691135892048777,10428.0
864691134942169955,864691136011485614,7740.0
864691134942169955,864691136125985318,5296.0
864691134942169955,864691136298913563,2916.0
864691134942169955,864691136312445786,1224.0
864691134942169955,864691136314120765,1112.0
864691134942169955,864691136523889553,17268.0
864691134942468707,864691135015437462,9136.0
864691134942468707,864691135060651419,11300.0
864691134942468707,864691135060772763,11648.0
864691134942468707,864691135398746401,16528.0
864691134942468707,864691135409856713,4632.0
864691134942468707,864691135448017554,21504.0
864691134942468707,864691135456535658,3904.0
864691134942468707,864691135573296677,10500.0
864691134942468707,864691135702887291,5496.0
864691134942468707,864691135741524587,6496.0
864691134942468707,864691135742824555,5760.0
864691134942468707,864691136312445786,1468.0
864691134942468707,864691136314120765,1628.0
864691134942468707,864691136381324501,11216.0
864691134942468707,864691136390905207,15036.0
864691134942468707,864691136484948012,7280.0
864691134942472035,864691135015437462,7192.0
864691134942472035,864691135196475434,6356.0
864691134942472035,864691135387529301,4560.0
864691134942472035,864691135398746401,1248.0
